dataset,mode,target,model,seed,fold,train_r2,train_rmse,train_nrmse,train_mae,test_r2,test_rmse,test_nrmse,test_mae,train_Si Particle Size (um)__r2,train_Si Particle Size (um)__rmse,train_Si Particle Size (um)__nrmse,train_Si Particle Size (um)__mae,test_Si Particle Size (um)__r2,test_Si Particle Size (um)__rmse,test_Si Particle Size (um)__nrmse,test_Si Particle Size (um)__mae,train_Hardness (HV)__r2,train_Hardness (HV)__rmse,train_Hardness (HV)__nrmse,train_Hardness (HV)__mae,test_Hardness (HV)__r2,test_Hardness (HV)__rmse,test_Hardness (HV)__nrmse,test_Hardness (HV)__mae,train_wear rate__r2,train_wear rate__rmse,train_wear rate__nrmse,train_wear rate__mae,test_wear rate__r2,test_wear rate__rmse,test_wear rate__nrmse,test_wear rate__mae,train_Ultimate Compression Strength (MPa)__r2,train_Ultimate Compression Strength (MPa)__rmse,train_Ultimate Compression Strength (MPa)__nrmse,train_Ultimate Compression Strength (MPa)__mae,test_Ultimate Compression Strength (MPa)__r2,test_Ultimate Compression Strength (MPa)__rmse,test_Ultimate Compression Strength (MPa)__nrmse,test_Ultimate Compression Strength (MPa)__mae,train_Elongation (%)__r2,train_Elongation (%)__rmse,train_Elongation (%)__nrmse,train_Elongation (%)__mae,test_Elongation (%)__r2,test_Elongation (%)__rmse,test_Elongation (%)__nrmse,test_Elongation (%)__mae
Dataset_0172,multi_output,ALL,xgboost,42,0,0.9755016676493058,1.496297419060196,0.008140899994886812,0.7096883028850219,0.9039077081439038,2.5798076481521686,0.014782303736833419,1.2060151824410756,0.9902249005571496,0.09126886866247107,0.023402274016018226,0.06398566325505577,0.9886726689941162,0.09992923904018128,0.03422234213704838,0.07676062798500062,0.9874331020009185,0.6889001876153796,0.025514821763532577,0.5242057398745887,0.9696647615026945,1.040499421213299,0.04954759148634757,0.8548114013671874,0.9958214765345889,0.09478074135551412,0.01575215910844509,0.0662535065098813,0.9913290169345217,0.12120045357567398,0.02623954396528988,0.07797700322469095,0.96979853150928,3.157171678110203,0.038038212989279556,2.229734379283168,0.9258792474243019,5.487750606464877,0.07145508602167808,3.926660868326823,0.934230327644592,0.8572630649657617,0.057380392567989394,0.6642622255024159,0.6439928458638842,1.4332886451302087,0.16474582127933435,1.0938660113016767
Dataset_0172,multi_output,ALL,xgboost,42,1,0.9783098486166505,1.5412044984582065,0.008385682020013094,0.6983246062320572,0.9112558923473875,2.2395147675796183,0.013173616279880108,0.9646774713309609,0.9929857508074933,0.0818114831361427,0.02103122959798013,0.05482593116007354,0.9791073488357691,0.07753298389518402,0.03876649194759201,0.06291002078851066,0.992282122583452,0.5608604842960158,0.020772610529482066,0.45281902112458855,0.8618179885672105,1.4509455067046095,0.11892995956595158,0.7628556315104172,0.9962123674058061,0.09131450707778944,0.015427353789118001,0.0682031495612965,0.9846701773510165,0.12746157610484574,0.0344770289707454,0.09964474258422858,0.9711587352197999,3.2975095217870356,0.038343133974267855,2.281938572933798,0.9295856117562158,4.635261510179665,0.07334274541423522,3.0795340169270844,0.9389102670667009,0.8206043768115909,0.054926665114564316,0.6338363563805296,0.8010983352267258,1.2099512481425783,0.1200348460458907,0.8184429448445638
Dataset_0172,multi_output,ALL,xgboost,42,2,0.9792017796762078,1.5110709679896548,0.008221278389497577,0.6607010484736541,0.9147330374071935,2.606264102560081,0.015332769164372755,1.3015615964974676,0.9939073765119261,0.07347170842936004,0.018838899597271808,0.05307323540079182,0.9820370416748774,0.11909584360159459,0.04802251758128814,0.09727681777306967,0.9873089344820251,0.6787037324527988,0.025137175276029586,0.4805433339086072,0.9666155007471507,1.1870638305393988,0.05935319152696994,0.9902996608189178,0.9957953239163634,0.09302893714204757,0.015461016643185568,0.07143254714176575,0.993526325122397,0.11847951728414971,0.028009342147553126,0.10895253399440234,0.9729022577391091,3.2135851824502333,0.03736726956337481,2.119794890305091,0.8947541693107516,5.54572751830681,0.08014057107379785,4.263201577322824,0.9460950057316158,0.7841277925896997,0.0524851266793641,0.5786612356120145,0.7367321501807901,1.330649240185846,0.1478499155762051,1.048077392578125
Dataset_0172,multi_output,ALL,xgboost,42,3,0.9786721962216323,1.206671709327547,0.006911063627305538,0.6328338771043153,0.8974147359824107,3.4984202337387664,0.019034878033292162,1.5082008378897391,0.9926160695830882,0.08258921365414787,0.021176721449781506,0.060555753450969176,0.9814989116273296,0.10900234963017327,0.039068942519775364,0.07927636891603466,0.9877238064295646,0.6894011444638125,0.026515428633223558,0.557435186978044,0.9472840253017502,1.3155036286343236,0.061186215285317376,1.1131014142717635,0.9962654572545577,0.09061380443258088,0.015059631782047677,0.07033358896189729,0.9905055922194608,0.12286600538749194,0.02793043996078471,0.08747358567374094,0.9813281811601354,2.5053630076501543,0.03262191416211138,1.9140804106613687,0.8604646241893608,7.418976808916341,0.11701856165483186,4.488381195068358,0.9354274666808152,0.7163333669470693,0.06395833633455976,0.5617644454692974,0.7073205265741527,2.096658389788542,0.1832743347717257,1.7727716255187984
Dataset_0172,multi_output,ALL,xgboost,42,4,0.9790718631641238,1.445225721626308,0.007863034394049553,0.6752906953195045,0.8976447981271429,3.1116462614840072,0.018629823448489794,1.3064538972275601,0.9948984238638053,0.06047633421572885,0.020158778071909616,0.044552725615172546,0.9675713011583487,0.216562181456072,0.0569900477515979,0.1334492542913982,0.9809853415830548,0.8007663429799637,0.03336526429083182,0.6087616492962014,0.9872577744396622,0.8038668909097435,0.03215467563638974,0.5816072736467633,0.9963484180007512,0.08036811639206971,0.016452019732255824,0.0636448351761391,0.9751632157054412,0.283373833133894,0.05133583933585037,0.1827503727504185,0.976002469395101,3.039317081361013,0.0353408962948955,2.1460198185361663,0.8306649025841899,6.692304326757499,0.10737752630176495,4.418809727260046,0.9471246629779055,0.7447116583057509,0.0526670196821606,0.5134744479738432,0.7275667967480723,1.6886009579107022,0.15491751907437637,1.2156528581891741
Dataset_0172,multi_output,ALL,xgboost,123,0,0.9731295651550139,1.5130544878495145,0.008553162735158363,0.708236647917095,0.9549993503569834,2.648490287476261,0.014410415623680619,1.304953551301956,0.9925195844523415,0.08231891311439579,0.021107413619075848,0.0599817935207434,0.9873328004351848,0.09165217449436276,0.032850241754251885,0.07272472850481669,0.989528521387784,0.6299179206037737,0.023330293355695322,0.484718965229235,0.9494354846014779,1.3506820023577089,0.06588692694427849,1.0013990275065103,0.996684391674648,0.08419754061240643,0.013993275820576105,0.06190257269876053,0.9870248740984616,0.14913001042176346,0.03524698899119911,0.12364350204467775,0.9685031869498313,3.200596003303553,0.04205776614065116,2.2580500498989173,0.91855859390548,5.701306857407709,0.06629426578381058,4.651011454264321,0.9184121413104654,0.8900519218819836,0.05957509517282353,0.6765298582378186,0.9326449987443127,0.8441696389738803,0.06126049629708857,0.675989044189453
Dataset_0172,multi_output,ALL,xgboost,123,1,0.9828682053033688,1.2123999194643207,0.006596299888271603,0.6304158261918185,0.8844111699141803,3.1566749182548275,0.01785449614397527,1.3601496360969543,0.9941732159203331,0.07153276029425215,0.018341733408782604,0.052510867620769314,0.9655229791985548,0.1701435787153259,0.05488502539204061,0.11226400995254515,0.9855516456176268,0.7562873750610752,0.028010643520780563,0.5790697599712169,0.9762924408155054,0.8347719386931856,0.04637621881628809,0.6374196370442708,0.997182888110282,0.07700077111331582,0.012797203110074094,0.055006434189645896,0.9839351043325194,0.1784537198720717,0.03453051855109746,0.12635703175862628,0.9823510341062017,2.514187601472603,0.029234739552007012,1.949517693770559,0.8837194293886117,6.666324599594382,0.08759953481727177,4.228686218261719,0.9550822427624004,0.6673918488884666,0.04577447523240512,0.5159743754069012,0.6125858958357103,2.1506883254889826,0.14893963472915392,1.696021283467611
Dataset_0172,multi_output,ALL,xgboost,123,2,0.9734016342109507,1.6521743002001086,0.008988978782372734,0.766172832002722,0.9435573548004292,1.4977351358053952,0.009999900756504056,0.7962297080908503,0.9924498701264444,0.08008821907132999,0.020535440787520513,0.055876735294687334,0.9775289463892611,0.1400146615384824,0.04706375177764115,0.11470511159726551,0.9877501647619203,0.6827143503582546,0.025285716679935354,0.5305316004259832,0.965000410369135,1.1182254673856686,0.055911273369283435,0.8563638959612163,0.9964896306043501,0.08561534696024925,0.014228909250498462,0.06357274358025916,0.9877428795117116,0.15096193984829928,0.03333965102656786,0.1124546342577255,0.9655891580596702,3.50955103134575,0.040808732922625,2.480831756591797,0.9443232562658656,3.0152285482458403,0.07179115591061525,2.1777312142508367,0.9247293475023686,0.9228261780716573,0.061768820486724045,0.7000513241208833,0.8431912814661731,0.9119362249274421,0.11543496518068887,0.719893684387207
Dataset_0172,multi_output,ALL,xgboost,123,3,0.9783277372526443,1.265664156768237,0.006886469104783922,0.5949097637295722,0.9151703455985327,4.0497248241788615,0.02303597738440763,1.7523084781067713,0.9947603872298327,0.066983513198328,0.02099796651985204,0.04871970597012291,0.9659662534813513,0.17755918808242077,0.04552799694421046,0.09434323472636084,0.9920868725836824,0.5435536685679561,0.022648069523664837,0.442700563628098,0.9296491820520202,1.6477506300647837,0.07489775591203562,0.9621122087751114,0.9957961301034688,0.09368294414736848,0.01703636009226559,0.07050457467703987,0.9847123520914299,0.1779392352590815,0.02957274975221564,0.13809715734209332,0.9798966072299119,2.6559679945487034,0.030883348773822133,1.8141670174434263,0.8147343325466728,8.792350076959146,0.12383591657688937,6.554331970214844,0.9290986891163259,0.8041448407432641,0.055688700882497506,0.5984569569291741,0.8807896078211902,1.384797496550701,0.1073486431434652,1.0126578194754463
Dataset_0172,multi_output,ALL,xgboost,123,4,0.9781637111669053,1.6194743474650237,0.008811068266947898,0.7190392386806422,0.8927928656051186,1.689932366213796,0.010510836958662744,0.974700349364962,0.9926399036051443,0.07937726752117891,0.020353145518251004,0.05395875480668298,0.9901838508199093,0.09561904486987165,0.03855606647978695,0.08551045060157779,0.9886266778027695,0.6318246060703029,0.02430094638731934,0.4643539691793507,0.9506821835930853,1.5309092998154714,0.07290044284835578,1.2485849652971541,0.9955895697291356,0.09352636274430993,0.015543686678462678,0.07189746804072943,0.996409050093176,0.09416163836786887,0.021751360214337923,0.0807401861463274,0.9706452362369072,3.4659569993032937,0.04030182557329411,2.3727252565581223,0.9392170911577034,3.2173023242088368,0.06994135487410515,2.510102866036551,0.9433171684605697,0.8284791038424736,0.055453755277273996,0.6322607448183258,0.587472152361719,1.2516509363164188,0.16088058307408984,0.948563278743199
Dataset_0172,multi_output,ALL,xgboost,7,0,0.9817867628353285,1.1284755117579497,0.006139692664624318,0.5904950369040173,0.9220053890460175,3.2623438065021384,0.01869323748855225,1.351191289650599,0.9937925919327999,0.07071339718946819,0.02209793662170881,0.04897463587292454,0.9684778605454586,0.1830536824899375,0.04791981217014071,0.11171900471051531,0.9862077827317595,0.7148201882424079,0.02978417451010033,0.5510494299102248,0.9712433278754697,1.0293105235897442,0.04678684198135201,0.7385974121093748,0.9965361976280516,0.08459740170398293,0.015114776077181155,0.06218608427884292,0.9829946443795452,0.18406322726808702,0.03292723206942523,0.1388733078002929,0.9841506670277179,2.305472933444111,0.026807824807489663,1.750921009799891,0.8931982541848753,7.052196242240021,0.10103433011805187,4.589062805175781,0.9482465748563138,0.7272925476776083,0.05036651992227204,0.5393440246582031,0.7941128582447388,1.534306241847427,0.11893846836026567,1.177703918457031
Dataset_0172,multi_output,ALL,xgboost,7,1,0.975585234341624,1.5200956751892818,0.008270379081552131,0.7085051963743411,0.9419969194800595,2.5309583573695464,0.014311328003220505,1.1733019839413958,0.9934342742751172,0.08116041463041483,0.020810362725747395,0.05685615737187235,0.9728754490263323,0.09810915402325981,0.04785812391378528,0.07839998928705853,0.9858655533958516,0.755495497420283,0.029057519131549345,0.5719446550335798,0.9660316796575289,0.9579808947225847,0.050420047090662355,0.7253633626302085,0.9961050485690592,0.09592057255361633,0.015941594241917288,0.0736010328594008,0.9844054111094951,0.12667081732811214,0.0315179938611874,0.10102004597981769,0.9717091036026152,3.2053558735726786,0.037271579925263705,2.228576263963131,0.9188189314317209,5.430037963088466,0.07858231495062905,4.0252553304036445,0.9308121918654773,0.832218010280126,0.05707942457339685,0.6115478726437217,0.86785312617522,1.2649270557595813,0.09482211812290714,0.9364711914062499
Dataset_0172,multi_output,ALL,xgboost,7,2,0.9699411158307983,1.6719246809013464,0.009451241836638476,0.7728141614794729,0.9666468226407032,1.7412568683442684,0.009474938747622192,0.8824139797551289,0.9922899533348252,0.08164073721842477,0.02093352236369866,0.05777415397866021,0.9892865856053606,0.09510579915422127,0.029954582410778353,0.08023811084883552,0.9862664134855893,0.7144125694358507,0.0264597247939204,0.5218683177027208,0.971539377241222,0.9686717458809602,0.04612722599433144,0.7008501325334819,0.996194036685805,0.08867868081296477,0.01473802240534565,0.06889907014781033,0.9920178172308971,0.12560691159562865,0.027064622192550878,0.10923242051260829,0.9616170295854837,3.5463667555581813,0.0466014028325648,2.475335240857354,0.973718152438552,3.6184863980502864,0.04207542323314287,2.712320600237164,0.9133381460622885,0.9354298960022899,0.06261244283817201,0.7401940247108197,0.9066721806874842,1.0503744257949563,0.07622455920137565,0.8094286346435547
Dataset_0172,multi_output,ALL,xgboost,7,3,0.9788505577049709,1.5405741936465154,0.008381796483386916,0.6765760160018658,0.9158866104996797,2.246411614193145,0.013454386333621688,1.1515654142890657,0.9937340760766235,0.07301957524772389,0.018722968012236895,0.05312434566432032,0.9755381531807549,0.14530440270220654,0.051163522078241735,0.1176955709287099,0.9869617588178511,0.7162331457468112,0.02652715354617819,0.4858751231226427,0.9477108798614551,1.0781616267926335,0.06342127216427255,0.8976195199148995,0.9956443942417197,0.09722909095883661,0.016159064477120923,0.0733331508636475,0.9941271929463372,0.09386101266616541,0.024079274670642737,0.07631195858546677,0.972243376195769,3.2754649297242424,0.038086801508421426,2.169920343859442,0.9053953665495755,4.715553937749729,0.07109768470033517,3.621424974714006,0.9456691831928907,0.7812800082110198,0.052294511928448445,0.6006271164992761,0.7566614599602757,1.3427661782495033,0.15797249155876508,1.0447750473022461
Dataset_0172,multi_output,ALL,xgboost,7,4,0.9815778219608106,1.3740838881420674,0.007476990276925955,0.5966652481083212,0.8921368958531989,3.2070662253443682,0.018242697527556133,1.4389924040010997,0.9943562979589886,0.06795916256288545,0.01753784840332528,0.05080454839714642,0.9843632907714897,0.12792852290629608,0.045688758180820035,0.08598856730120526,0.9945052905264772,0.42600424947363424,0.015777935165690156,0.33545242835735456,0.9365204361558224,1.8054242103218614,0.08024107601430495,1.2418864658900668,0.9963045901991763,0.0797827589405286,0.013479094262633655,0.05776217197549761,0.9934942059390529,0.1474349800629815,0.026341786682683846,0.11777265684945247,0.978540246938279,2.9399763615120444,0.03418577164548889,1.9426355033085259,0.7624147459942731,6.807038628349682,0.11984222937235356,4.82945537022182,0.9441826841811323,0.7775656210497623,0.05204589163653027,0.5966715885030813,0.7838918004053563,1.3390050863767056,0.11955402556934872,0.9198589597429547
Dataset_0172,multi_output,ALL,xgboost,2024,0,0.9817896691120304,1.2654579428470762,0.0068849724855662466,0.6296295340885197,0.8937128707616455,3.18255905943939,0.017992758137943182,1.1864419874350234,0.9947540147585139,0.06659068818221764,0.01707453543133786,0.048993564101687655,0.9753794434530477,0.153543265201374,0.059512893488904664,0.11161143533388775,0.9868864335042206,0.7031993343041866,0.026044419789043947,0.4995073820415298,0.9573913890366156,1.2577799418695594,0.0559013307497582,0.9206008911132812,0.9964694795338294,0.08228207246083674,0.013674933099690334,0.06129748167071433,0.985930116207078,0.19524972936705323,0.03629177125781659,0.13069937515258795,0.9828619780719875,2.641630387388808,0.030716632411497767,1.9911244121350742,0.7619902819706172,6.822680759496227,0.10986603477449641,3.559988403320314,0.9479764396916,0.7231970402531698,0.04960199178691151,0.5472248304935924,0.7878731231408691,1.565480665745404,0.1084127884865238,1.2093098322550455
