dataset,mode,target,model,seed,fold,train_r2,train_rmse,train_nrmse,train_mae,test_r2,test_rmse,test_nrmse,test_mae
Dataset_0172,single_output,Si Particle Size (um),xgboost,42,0,0.9902249005571496,0.09126886866247107,0.023402274016018226,0.06398566325505577,0.9886726689941162,0.09992923904018128,0.03422234213704838,0.07676062798500062
Dataset_0172,single_output,Si Particle Size (um),xgboost,42,1,0.9929857508074933,0.0818114831361427,0.02103122959798013,0.05482593116007354,0.9791073488357691,0.07753298389518402,0.03876649194759201,0.06291002078851066
Dataset_0172,single_output,Si Particle Size (um),xgboost,42,2,0.9939073765119261,0.07347170842936004,0.018838899597271808,0.05307323540079182,0.9820370416748774,0.11909584360159459,0.04802251758128814,0.09727681777306967
Dataset_0172,single_output,Si Particle Size (um),xgboost,42,3,0.9926160695830882,0.08258921365414787,0.021176721449781506,0.060555753450969176,0.9814989116273296,0.10900234963017327,0.039068942519775364,0.07927636891603466
Dataset_0172,single_output,Si Particle Size (um),xgboost,42,4,0.9948984238638053,0.06047633421572885,0.020158778071909616,0.044552725615172546,0.9675713011583487,0.216562181456072,0.0569900477515979,0.1334492542913982
Dataset_0172,single_output,Si Particle Size (um),xgboost,123,0,0.9925195844523415,0.08231891311439579,0.021107413619075848,0.0599817935207434,0.9873328004351848,0.09165217449436276,0.032850241754251885,0.07272472850481669
Dataset_0172,single_output,Si Particle Size (um),xgboost,123,1,0.9941732159203331,0.07153276029425215,0.018341733408782604,0.052510867620769314,0.9655229791985548,0.1701435787153259,0.05488502539204061,0.11226400995254515
Dataset_0172,single_output,Si Particle Size (um),xgboost,123,2,0.9924498701264444,0.08008821907132999,0.020535440787520513,0.055876735294687334,0.9775289463892611,0.1400146615384824,0.04706375177764115,0.11470511159726551
Dataset_0172,single_output,Si Particle Size (um),xgboost,123,3,0.9947603872298327,0.066983513198328,0.02099796651985204,0.04871970597012291,0.9659662534813513,0.17755918808242077,0.04552799694421046,0.09434323472636084
Dataset_0172,single_output,Si Particle Size (um),xgboost,123,4,0.9926399036051443,0.07937726752117891,0.020353145518251004,0.05395875480668298,0.9901838508199093,0.09561904486987165,0.03855606647978695,0.08551045060157779
Dataset_0172,single_output,Si Particle Size (um),xgboost,7,0,0.9937925919327999,0.07071339718946819,0.02209793662170881,0.04897463587292454,0.9684778605454586,0.1830536824899375,0.04791981217014071,0.11171900471051531
Dataset_0172,single_output,Si Particle Size (um),xgboost,7,1,0.9934342742751172,0.08116041463041483,0.020810362725747395,0.05685615737187235,0.9728754490263323,0.09810915402325981,0.04785812391378528,0.07839998928705853
Dataset_0172,single_output,Si Particle Size (um),xgboost,7,2,0.9922899533348252,0.08164073721842477,0.02093352236369866,0.05777415397866021,0.9892865856053606,0.09510579915422127,0.029954582410778353,0.08023811084883552
Dataset_0172,single_output,Si Particle Size (um),xgboost,7,3,0.9937340760766235,0.07301957524772389,0.018722968012236895,0.05312434566432032,0.9755381531807549,0.14530440270220654,0.051163522078241735,0.1176955709287099
Dataset_0172,single_output,Si Particle Size (um),xgboost,7,4,0.9943562979589886,0.06795916256288545,0.01753784840332528,0.05080454839714642,0.9843632907714897,0.12792852290629608,0.045688758180820035,0.08598856730120526
Dataset_0172,single_output,Si Particle Size (um),xgboost,2024,0,0.9947540147585139,0.06659068818221764,0.01707453543133786,0.048993564101687655,0.9753794434530477,0.153543265201374,0.059512893488904664,0.11161143533388775
Dataset_0172,single_output,Si Particle Size (um),xgboost,2024,1,0.9930273143755091,0.0815047533402467,0.02089865470262736,0.058078584890616576,0.9900156166629737,0.07292943981104237,0.02928893165102103,0.05564102156956992
Dataset_0172,single_output,Si Particle Size (um),xgboost,2024,2,0.9915140446912426,0.08230826496354592,0.021104683323986136,0.05258290958815609,0.9875422859535503,0.11944478716215441,0.03791898005147759,0.08768530138901308
Dataset_0172,single_output,Si Particle Size (um),xgboost,2024,3,0.9940204857273061,0.07411528758659863,0.01905277315850865,0.05749776291436164,0.976645796410425,0.11797728865504965,0.04213474594823202,0.09208043243203844
Dataset_0172,single_output,Si Particle Size (um),xgboost,2024,4,0.9940388837427174,0.070394995798043,0.02199843618688844,0.05054977339917216,0.961688729231726,0.19575447023741246,0.051924262662443633,0.12035474743161881
Dataset_0172,single_output,Si Particle Size (um),xgboost,99,0,0.9944500376964029,0.07027271138473329,0.01801864394480341,0.05354096988836924,0.9786417443313224,0.1296994680629492,0.051468042882122714,0.09525960751374565
Dataset_0172,single_output,Si Particle Size (um),xgboost,99,1,0.9935456098870626,0.0775324630221846,0.019931224427296813,0.05203553698564831,0.9838057981093837,0.09998622817562346,0.039994491270249385,0.07599600680669151
Dataset_0172,single_output,Si Particle Size (um),xgboost,99,2,0.9923637591536154,0.08161215356714728,0.02092619322234546,0.055362320100439025,0.9835490805248106,0.11850082746857839,0.04128948692284961,0.09480752314840044
Dataset_0172,single_output,Si Particle Size (um),xgboost,99,3,0.9934305350043574,0.07160077580783883,0.022375242439949636,0.05022162317202008,0.9679373138063934,0.19396820528284311,0.051044264548116614,0.11495224773883818
Dataset_0172,single_output,Si Particle Size (um),xgboost,99,4,0.9916310386860764,0.0853652642816894,0.021888529302997287,0.05953654043633364,0.9843471344390259,0.10963155010972755,0.03436725708768889,0.08934398510626385
