dataset,target,model,optuna_best_rmse,optuna_best_params,nested_cv_test_rmse_mean,nested_cv_test_rmse_std,nested_cv_test_r2_mean
Dataset_0136,Si Particle Size (um),xgboost,0.15617705975158636,"{'model__n_estimators': 681, 'model__learning_rate': 0.18568658353530917, 'model__max_depth': 2, 'model__reg_alpha': 0.025708228694852907, 'model__reg_lambda': 9.227112403538666, 'model__subsample': 0.9341885848899306}",0.16759187676138815,0.09342230970087215,0.9359463336973889
Dataset_0136,Si Particle Size (um),lightgbm,0.18413816919735984,"{'model__n_estimators': 297, 'model__learning_rate': 0.0730531530956458, 'model__num_leaves': 3, 'model__min_child_samples': 4}",0.20290408606169139,0.110679880610841,0.9062562476359366
Dataset_0136,Si Particle Size (um),gradient_boosting,0.16328539545431148,"{'model__n_estimators': 279, 'model__learning_rate': 0.0881177489382637, 'model__max_depth': 2, 'model__subsample': 0.6250788759409313}",0.21744178203282588,0.09799310713042975,0.8796471168435943
Dataset_0136,Hardness (HV),xgboost,0.9721845844890323,"{'model__n_estimators': 173, 'model__learning_rate': 0.23866760668005113, 'model__max_depth': 2, 'model__reg_alpha': 0.36803968827980355, 'model__reg_lambda': 0.041923669135277467, 'model__subsample': 0.764367786653069}",1.0531216641034278,0.20417867197834333,0.9386655948613083
Dataset_0136,Hardness (HV),lightgbm,0.8191724163367906,"{'model__n_estimators': 596, 'model__learning_rate': 0.1644099704861476, 'model__num_leaves': 13, 'model__min_child_samples': 5}",1.0507392208383544,0.4281205322541787,0.9313298401866522
Dataset_0136,Hardness (HV),gradient_boosting,1.101887968091899,"{'model__n_estimators': 739, 'model__learning_rate': 0.15839244871314243, 'model__max_depth': 2, 'model__subsample': 0.725725890309294}",1.353377188247419,0.26907107489222093,0.8957911148778759
Dataset_0136,wear rate,xgboost,0.1777367010803067,"{'model__n_estimators': 715, 'model__learning_rate': 0.16968883563856746, 'model__max_depth': 2, 'model__reg_alpha': 0.10532001114990376, 'model__reg_lambda': 0.23002735100512484, 'model__subsample': 0.908386157106307}",0.2092055971109669,0.057512486190471945,0.9216490891580081
Dataset_0136,wear rate,lightgbm,0.20636934290706307,"{'model__n_estimators': 583, 'model__learning_rate': 0.03901294203736815, 'model__num_leaves': 13, 'model__min_child_samples': 3}",0.2237690425056392,0.10068194939260791,0.9296405559133959
Dataset_0136,wear rate,gradient_boosting,0.18392644895374827,"{'model__n_estimators': 127, 'model__learning_rate': 0.2608871758253527, 'model__max_depth': 2, 'model__subsample': 0.6002922679359122}",0.22884424776456197,0.032316600310701916,0.9109551317134859
Dataset_0136,Ultimate Compression Strength (MPa),xgboost,3.7218061982497908,"{'model__n_estimators': 697, 'model__learning_rate': 0.03882587165902046, 'model__max_depth': 2, 'model__reg_alpha': 0.03527585661202076, 'model__reg_lambda': 2.946873732899155, 'model__subsample': 0.87485327829601}",5.052625683909889,1.8309088767803534,0.7746062017016879
Dataset_0136,Ultimate Compression Strength (MPa),lightgbm,4.053028678049818,"{'model__n_estimators': 197, 'model__learning_rate': 0.10140358114877981, 'model__num_leaves': 4, 'model__min_child_samples': 3}",4.435332863629418,2.1738636217789673,0.7512868166956995
Dataset_0136,Ultimate Compression Strength (MPa),gradient_boosting,3.9315276523724534,"{'model__n_estimators': 431, 'model__learning_rate': 0.08859428521010868, 'model__max_depth': 3, 'model__subsample': 0.8365624571725125}",5.105749543470109,1.8817404158338795,0.7810404949699203
