dataset,mode,target,model,train_r2_mean,train_r2_std,train_rmse_mean,train_rmse_std,train_nrmse_mean,train_nrmse_std,train_mae_mean,train_mae_std,test_r2_mean,test_r2_std,test_rmse_mean,test_rmse_std,test_nrmse_mean,test_nrmse_std,test_mae_mean,test_mae_std,train_Si Particle Size (um)__r2_mean,train_Si Particle Size (um)__r2_std,train_Si Particle Size (um)__rmse_mean,train_Si Particle Size (um)__rmse_std,train_Si Particle Size (um)__nrmse_mean,train_Si Particle Size (um)__nrmse_std,train_Si Particle Size (um)__mae_mean,train_Si Particle Size (um)__mae_std,test_Si Particle Size (um)__r2_mean,test_Si Particle Size (um)__r2_std,test_Si Particle Size (um)__rmse_mean,test_Si Particle Size (um)__rmse_std,test_Si Particle Size (um)__nrmse_mean,test_Si Particle Size (um)__nrmse_std,test_Si Particle Size (um)__mae_mean,test_Si Particle Size (um)__mae_std,train_Hardness (HV)__r2_mean,train_Hardness (HV)__r2_std,train_Hardness (HV)__rmse_mean,train_Hardness (HV)__rmse_std,train_Hardness (HV)__nrmse_mean,train_Hardness (HV)__nrmse_std,train_Hardness (HV)__mae_mean,train_Hardness (HV)__mae_std,test_Hardness (HV)__r2_mean,test_Hardness (HV)__r2_std,test_Hardness (HV)__rmse_mean,test_Hardness (HV)__rmse_std,test_Hardness (HV)__nrmse_mean,test_Hardness (HV)__nrmse_std,test_Hardness (HV)__mae_mean,test_Hardness (HV)__mae_std,train_wear rate__r2_mean,train_wear rate__r2_std,train_wear rate__rmse_mean,train_wear rate__rmse_std,train_wear rate__nrmse_mean,train_wear rate__nrmse_std,train_wear rate__mae_mean,train_wear rate__mae_std,test_wear rate__r2_mean,test_wear rate__r2_std,test_wear rate__rmse_mean,test_wear rate__rmse_std,test_wear rate__nrmse_mean,test_wear rate__nrmse_std,test_wear rate__mae_mean,test_wear rate__mae_std,train_Ultimate Compression Strength (MPa)__r2_mean,train_Ultimate Compression Strength (MPa)__r2_std,train_Ultimate Compression Strength (MPa)__rmse_mean,train_Ultimate Compression Strength (MPa)__rmse_std,train_Ultimate Compression Strength (MPa)__nrmse_mean,train_Ultimate Compression Strength (MPa)__nrmse_std,train_Ultimate Compression Strength (MPa)__mae_mean,train_Ultimate Compression Strength (MPa)__mae_std,test_Ultimate Compression Strength (MPa)__r2_mean,test_Ultimate Compression Strength (MPa)__r2_std,test_Ultimate Compression Strength (MPa)__rmse_mean,test_Ultimate Compression Strength (MPa)__rmse_std,test_Ultimate Compression Strength (MPa)__nrmse_mean,test_Ultimate Compression Strength (MPa)__nrmse_std,test_Ultimate Compression Strength (MPa)__mae_mean,test_Ultimate Compression Strength (MPa)__mae_std,train_Elongation (%)__r2_mean,train_Elongation (%)__r2_std,train_Elongation (%)__rmse_mean,train_Elongation (%)__rmse_std,train_Elongation (%)__nrmse_mean,train_Elongation (%)__nrmse_std,train_Elongation (%)__mae_mean,train_Elongation (%)__mae_std,test_Elongation (%)__r2_mean,test_Elongation (%)__r2_std,test_Elongation (%)__rmse_mean,test_Elongation (%)__rmse_std,test_Elongation (%)__nrmse_mean,test_Elongation (%)__nrmse_std,test_Elongation (%)__mae_mean,test_Elongation (%)__mae_std,gap_r2,gap_rmse,stability_test_r2_std,stability_test_rmse_std
Dataset_3772,multi_output,ALL,ann,0.7927359384849767,0.05331012501312115,4.105896139380973,0.6609119918614973,0.022542787176939076,0.003786350831930657,2.0194874508347467,0.33746695740390475,0.5273972275656577,0.18574064548428335,5.242204621474691,1.4171440497199506,0.030193901134929594,0.00830827005040722,2.672736509097985,0.634381778470042,0.9359616459377988,0.022158670182552288,0.05186446179246967,0.009545553764121022,0.06813874017043219,0.013234520037879397,0.0367854299153279,0.005167559490406575,0.8228880702942467,0.11728149763594478,0.07280663504553452,0.023969225529199892,0.13894450954405738,0.052820506939904734,0.05748760631122462,0.015709646229529167,0.8814608303126648,0.03136812030869353,1.8973148299998095,0.26031274709354063,0.09375844135598156,0.014740009571728045,1.4933744648080092,0.21384335848444766,0.6511735275791446,0.3976996990858917,2.580371412124046,0.8071847568378651,0.18609888500027036,0.09305660846280321,2.067191188863051,0.6414623761774005,0.9357522389303634,0.013238429346499974,0.17100542948066824,0.01512299832436369,0.06091068066986683,0.005885071923121977,0.13417724695355232,0.01430795537277284,0.8296170016198728,0.16157138811266952,0.22000256463802845,0.0614062145938185,0.12770961822562696,0.06054343283488896,0.18271082100753447,0.057764913537182244,0.7288115206222575,0.09867530583023666,8.665627090328588,1.4629909579851172,0.12708747904076895,0.024087090855296766,6.712546222975967,1.25737730374236,0.38617660770444023,0.5199534235020941,10.894721686759858,3.417834524764665,0.23553737908277564,0.10063480532182992,8.735476190536804,3.022205072871977,0.4816934566217989,0.15227111112028582,2.318524430774758,0.418460811877739,0.17066778116176565,0.028477935406023412,1.7205538895208763,0.3551713316754214,-0.052869069369416294,0.5278188409228309,2.991981508989468,0.9356675747594297,0.322309306840332,0.08849400750541125,2.320816738771311,0.7568855630953464,0.26533871091931904,1.1363084820937184,0.18574064548428335,1.4171440497199506
Dataset_3772,multi_output,ALL,elasticnet,0.6963316945139186,0.020921084162943422,4.287378887144092,0.2853003727576155,0.02352430824228678,0.0016650004667601345,2.2355185853957824,0.11797599750960808,0.5186476396252809,0.17694195349535738,4.764953415918643,1.1866242256533255,0.027475301404041707,0.007115124896239881,2.4981623559821924,0.5167121886121033,0.72555250860563,0.03155939662239371,0.10879970464783095,0.004412751387266383,0.14299930328554203,0.011822276584064161,0.0866021030402033,0.003835410464879746,0.6399358336708343,0.13927120054519396,0.11520963139902651,0.0433526833467334,0.2069527674265301,0.04513381923785273,0.09594361760124896,0.03200493489034371,0.8781264852181551,0.024747220365145216,1.9282924071138552,0.1834580731329678,0.09516586590377331,0.010572222925430674,1.562607846183235,0.142787450806212,0.7374448615310807,0.33493710722526365,2.229919357661714,0.5771459783658884,0.16194005245307788,0.08115072120838397,1.8388711713236359,0.4153761753909815,0.904018739082525,0.01412173739412044,0.20960725972016991,0.009219426877271942,0.07471992603174242,0.005471345750711724,0.15216385019460227,0.010171515450035511,0.8557003250122786,0.06111653281002951,0.2283127548176334,0.07245006472185962,0.12320832022233086,0.03007045251461728,0.1737366440743261,0.058083974242628976,0.7174388358235834,0.04918130051725225,8.954443784359002,0.6837687602143838,0.13119036079545907,0.013535730488896613,7.1378457011828536,0.5329935763702944,0.47752793307901575,0.5020649588680773,9.834750145918072,2.9075515431324903,0.2154387589759753,0.09935566808005626,7.876215921803241,2.3882660856851254,0.2565219038396997,0.07928919968213323,2.796536961455948,0.20609262176824358,0.20642305284105625,0.016367611451274543,2.2383734263780166,0.18403202221905038,-0.11737075516680463,0.5188144396523481,3.073170228927028,0.8137685503917703,0.33391990648507586,0.07599723378863717,2.5060444251085103,0.664914893284725,0.1776840548886377,0.477574528774551,0.17694195349535738,1.1866242256533255
Dataset_3772,multi_output,ALL,extra_trees,0.8214616736652212,0.035015670363506037,2.754243463148249,0.18438125733135605,0.015108130057123349,0.001011767265410194,1.5941411770598228,0.11214160508534908,0.4070536621017346,0.2112486351351489,4.982067353746516,1.0456124381158354,0.028718875033661582,0.0064455276017325,2.914263467712021,0.5484288950212891,0.8395657170943095,0.05708741108250094,0.0823203746648885,0.014319832955415978,0.10778273300789137,0.017368127202194907,0.06474931199077336,0.01088144758990033,0.5074042611571206,0.16823467099494877,0.13389325167669194,0.04215476543500924,0.2415916077906623,0.04258402091852312,0.11404068832199543,0.03604449376270013,0.8528045756311241,0.03558301811419425,2.113722555735518,0.18569917131987945,0.1044543838995664,0.012206177993232419,1.7824947454844016,0.1881419005247964,0.5026726959650616,0.1846948265593315,3.5406580946928328,1.008879788466759,0.239711595835622,0.04937649343370481,3.1076806349206287,0.9709666686802222,0.8615166715342605,0.03928010457247269,0.25029167783784095,0.03292033985931729,0.0890876156202728,0.011575643818823221,0.1927606093040902,0.027896037739739477,0.5841224547266853,0.1925903504243206,0.3912669182478098,0.10576329690710529,0.21033227037609795,0.0417574268334187,0.3307829358956927,0.08779947434680993,0.8949432392818713,0.02154722638470774,5.450938085212143,0.44003839897902214,0.0797931239482758,0.007723315653113069,4.525874287547919,0.4093114369405969,0.4062832913261392,0.7556752521713836,10.022892903611305,2.5318481239120434,0.22320959196690715,0.11621491365804837,8.750373069897979,2.171207253735583,0.6584781647845407,0.0682942286536126,1.8896355132480716,0.23171399338211418,0.13942442149832943,0.017156325838903225,1.4048269309719295,0.16580451935180254,0.03478560733366632,0.516380955448648,2.8446214024283814,0.9957709212109799,0.30694265448710556,0.08834910255355809,2.268440009523809,0.7827749783565033,0.41440801156348656,2.2278238905982675,0.2112486351351489,1.0456124381158354
Dataset_3772,multi_output,ALL,gpr,0.9585901501326163,0.01614315181593729,1.4926531767147753,0.3639419569113207,0.008202132270725847,0.002059270859381444,0.7922087054260654,0.18674173402105554,0.7296095268564468,0.11962832177477965,3.602656065777109,0.8903607392845552,0.020813685750415655,0.005549974348064674,1.8723615526741324,0.37531670018471774,0.981308193490505,0.009144203843985375,0.02758792950784022,0.00804589238915851,0.03601213148487823,0.010565798270355864,0.01943750894468849,0.005100330351490329,0.8919785359038819,0.0880874616221813,0.06030087450086993,0.03392012455566585,0.10724738634687414,0.044994142361473394,0.045934606427040954,0.02228778013175034,0.9753667543781198,0.012648261990449166,0.8411617728848714,0.23198781082555586,0.041347429816916866,0.011214051154189593,0.6490831615354938,0.17494097353383503,0.8118834918370845,0.1972776088780667,1.9383132759418067,0.5984522451594849,0.13878890383529752,0.06512909690288854,1.5411654359072986,0.48828093503683995,0.9821824185379083,0.0073044110551420405,0.08865073748915794,0.017828652772726845,0.03154102671281882,0.006501041932985072,0.0686358793876177,0.013923168361843312,0.8725747119226758,0.09244713542609186,0.20323683545934454,0.045514536577374434,0.11385323572056738,0.03726621557575784,0.16611446247131312,0.03865439839756303,0.96506839128279,0.017359328877972376,3.0439597847406588,0.7739559386705337,0.04470699375120475,0.012455528891880178,2.3992759361556106,0.6262562613328043,0.6771167897358565,0.38431488448474316,7.382493013092199,2.203956683321169,0.1642187873547896,0.08453009382598708,5.807543143244748,1.7791450631991446,0.8890249929737579,0.04194715703778651,1.058496751192238,0.22005069102022398,0.07809376542674108,0.0158552997381775,0.8246110411069161,0.17572378430972738,0.39449410488273495,0.25291352294200864,2.2534083335566333,0.568004407210327,0.24672900663546263,0.05643750002148862,1.8010501153202605,0.49512213937157923,0.22898062327616953,2.1100028890623337,0.11962832177477965,0.8903607392845552
Dataset_3772,multi_output,ALL,gradient_boosting,0.9105547515968613,0.029209921126882397,2.243267347795774,0.3921167316170193,0.012322973856879377,0.0022603998669004704,1.1299483722513672,0.1814039649743219,0.7218020269500073,0.15862783608729844,3.8163804608268124,1.0590638230287677,0.02198380321742039,0.006208796396838049,1.9906310601896455,0.4671833752780934,0.9820776923035532,0.019278572168736078,0.026118249238476752,0.010268592177908738,0.03450720824618889,0.013786890518548806,0.01958287777599569,0.0085436340423587,0.912077687493032,0.09595334701326287,0.050762140315783064,0.02235352507245601,0.0941513730117193,0.04186477575197454,0.04160569119812415,0.019065910899105174,0.9557907343173727,0.028649612807494822,1.1030127273711883,0.37475962954276454,0.05430416399833215,0.018334430403566766,0.8387259610832242,0.3208290290159159,0.809463359583496,0.22268321647371953,1.9940824220361475,0.7238163176381966,0.14006970875543792,0.06911583407467052,1.6475510058138467,0.6135099628201344,0.9683120233796163,0.014637482723871094,0.11823786398602167,0.02665223263987426,0.04223118662231975,0.01018038961631246,0.08212752138837941,0.02014419821280358,0.8822494980367757,0.09319420034882828,0.19261734182771575,0.05427713686679703,0.1071379910539334,0.0382024184767593,0.15050701675742822,0.04117453543503788,0.9237883341772531,0.03142500839764716,4.5521072195049745,0.9319346137535035,0.0668597786688132,0.015484773515360388,3.50378393673205,0.759072123733653,0.6479958447418038,0.34604733071048893,7.881961029806032,2.53798524002238,0.17377884438366692,0.08475655610534838,6.3739485639741815,1.9831576937775521,0.7228049738065107,0.1454617192145458,1.655181523978379,0.497170000224664,0.12150229248588568,0.03403403066364759,1.205521564277187,0.32969571038484163,0.35722374489492936,0.5360216910683101,2.237148282565128,0.6219893231523033,0.2462984288301169,0.08360357405724807,1.7395430232046478,0.4606319115838021,0.188752724646854,1.5731131130310385,0.15862783608729844,1.0590638230287677
Dataset_3772,multi_output,ALL,lightgbm,0.9584496901769352,0.008175242652957056,1.7877146732579319,0.36322957215461865,0.00981948694862189,0.002056927826037164,0.8100850099217474,0.08650819226084404,0.738769512892299,0.19461459322793268,3.661759233870054,1.2952983885056137,0.02117726302310668,0.007899492907660656,1.748660843671951,0.4312666027242789,0.9799885483169096,0.006942974049044207,0.028880642963881254,0.0034643765233922786,0.038305026257966765,0.007823408290769761,0.022418034500733305,0.003202498010271063,0.9057079260774872,0.04826579382372194,0.05651025826702608,0.02228812949648986,0.10264512672491101,0.027825071722500993,0.04610674187896553,0.016459789731149418,0.9723213800041774,0.011144112194368823,0.8977101236529849,0.21583623684865416,0.04439368546656188,0.01135409191556297,0.6474521568089768,0.13921976480391024,0.820681611679045,0.24189725692915445,1.8283383032893787,0.6454345538478528,0.13201845967544792,0.072468935160225,1.423276601183055,0.478332508939536,0.9800737246398501,0.0048776263783129395,0.09500168569775601,0.008948799995324335,0.033889224287989704,0.004014906471936261,0.06965906460645804,0.006492115027131341,0.9099912242918572,0.0569397560378029,0.1749056947126202,0.052620873258625085,0.09593350845505365,0.031207883067841096,0.1258830586644057,0.046300293688518505,0.9474322102391348,0.023742656624222543,3.759861674372112,0.8623964897743209,0.05512516727062656,0.013377519787047954,2.63856944654075,0.4172167117320677,0.568531460097495,0.7363414567382444,7.623921221981812,3.1344730414919284,0.17475593957873706,0.12299343058173398,5.75009039105231,2.1666966020129146,0.9124325876846036,0.03295941504599053,0.9393750751948194,0.14213089563622322,0.06942450161059076,0.011354064830635753,0.6723263471518187,0.11587395542642558,0.4889353423156104,0.3846943671819347,1.8847281136735867,0.4653296147395825,0.21414123608252728,0.07898940517027389,1.397947425581019,0.3857516061178387,0.21968017728463618,1.874044560612122,0.19461459322793268,1.2952983885056137
Dataset_3772,multi_output,ALL,linear_regression,0.7410058792769828,0.020953824297915737,4.269684111466454,0.2869508432328507,0.023427295306619706,0.0016737019126127376,2.2003043283990102,0.11973950635550477,0.5539984709498799,0.18378038683227077,4.780017741419898,1.2118532793909231,0.027580534364822065,0.007339509840500153,2.480346618837705,0.4998996347958262,0.9126613487271722,0.013119437206185377,0.06137817420290125,0.005242901614607535,0.08054411890670972,0.007592413069675727,0.04716891486931311,0.0033795064097648037,0.8499805696341415,0.07730438818788457,0.07075845556670937,0.020867393991035942,0.13107850974666369,0.03439306248517413,0.05665667411759954,0.01673633246309362,0.8817023787303442,0.024855593747262924,1.8989269192731737,0.18981240507562888,0.09371405868878023,0.010791297045106086,1.4932154886999374,0.11876353846524007,0.7242278203590741,0.41242905052465967,2.1948907538186133,0.6996480576089484,0.16112287682407067,0.09360210018632652,1.7783175437668597,0.4481412543704528,0.9321937085698612,0.010376515260759545,0.1762216141394703,0.01112775382366903,0.06281196935490856,0.005273653129419833,0.1351263945382252,0.009215868802117845,0.8820354382802202,0.05700498809840502,0.20303637385082618,0.040624410384940746,0.11193577924603935,0.025335968772826407,0.16228442672870205,0.03977846976099309,0.7195218140507172,0.04912974237227987,8.920835125013847,0.6874450835456766,0.13069923053760565,0.013563673266422214,7.113353052197466,0.524895495043731,0.4592895586822637,0.5461518438367645,9.85856794258771,2.9943931583594727,0.21720660850844453,0.10495871155052876,7.9141625944127965,2.347948425653853,0.25895014630681973,0.07959793063006189,2.791917232951894,0.2066385560412273,0.20608309250099935,0.016416047815956604,2.212657791690109,0.18690867411612183,-0.1455410322063001,0.5899529561379763,3.0845843397406587,0.8181595232744818,0.33642477055693915,0.0836482681325439,2.4903118551625676,0.6659240269631534,0.18700740832710294,0.5103336299534442,0.18378038683227077,1.2118532793909231
Dataset_3772,multi_output,ALL,random_forest,0.8099080687495623,0.015099519684602523,2.967793662332761,0.1525175871786385,0.016284235200944706,0.0009304130550278882,1.6798259251918521,0.0692484062181242,0.5175268745972894,0.18843050330834069,4.803600521710476,1.0063375033359943,0.027678453807876972,0.006159119766266184,2.7224695343395133,0.5110696732831427,0.8507927399813086,0.028110397693078902,0.08020921110787413,0.008995527804829989,0.10499639484063646,0.00974888309677368,0.06230826778441633,0.007180201171470922,0.6625478184880785,0.14398145315568098,0.11124043322171158,0.042176946879510624,0.1989841465021302,0.047499963785853624,0.09278295217847626,0.033465164618500125,0.846192594788767,0.023878795566505063,2.1722470297798924,0.130854516462459,0.10728675902845582,0.009927621028897823,1.820774598254778,0.13871738353728974,0.6189452671449499,0.17661449828040315,3.1221170185312648,1.0530363124263955,0.20815805295060066,0.05020510096123684,2.7105292519781785,0.991517959273931,0.8588053187131328,0.019762947016755756,0.25468498939944284,0.01886952425086419,0.09060557329891906,0.0060804978278688904,0.19039502642953202,0.014897295840309098,0.6860878860218623,0.14704511426650174,0.3432904365756432,0.11612699159556482,0.18204532460301853,0.04026879718262046,0.27921871317269414,0.08769630093886756,0.8759153550316883,0.022668743205906942,5.927693361364862,0.41507735406443597,0.08684309843817596,0.008542901850163771,4.82706577119914,0.37400974814574883,0.4670479262959084,0.6013972367412559,9.790185274887241,2.3740182656071127,0.21573011864610794,0.10191075097973001,8.383904344773711,1.9709176854970503,0.6178343352329151,0.03752521551673255,2.0052952197066274,0.14319314836913885,0.14796600430393134,0.010595423104327128,1.4985859622913937,0.11656267500162883,0.15300547503564782,0.40152362372324907,2.7017476999947845,0.865549453856298,0.29057880401956976,0.07234244351367916,2.1459124095945055,0.7567070536506224,0.2923811941522729,1.835806859377715,0.18843050330834069,1.0063375033359943
Dataset_3772,multi_output,ALL,ridge,0.7401529243032676,0.020946396341956643,4.276118468295202,0.2863440149235436,0.023462569127981787,0.0016704641554326093,2.2101522997131093,0.11844265356035785,0.5619068131492706,0.17235637792755104,4.764046900506633,1.1936640991508367,0.027477087952198366,0.0071853827821759175,2.476528093659068,0.5088626121234548,0.9116188447785926,0.013158905281390066,0.061745943809567896,0.00522192305160326,0.0810277197707251,0.0075873970744910835,0.047644347556102806,0.0032681061831154935,0.8522277316889273,0.07601960677346233,0.07047070888299141,0.022684164536238047,0.12999415368102396,0.03535469409062198,0.056842162155684856,0.018057715473036928,0.8806843913726103,0.024803812310832625,1.9073627261049504,0.18778813600326275,0.09413098531489222,0.010717636643265565,1.5224602827515594,0.12879474777152686,0.7330612887712624,0.36944406007332214,2.205465307248644,0.6302861602306906,0.16103478775880642,0.08685645539914903,1.7981345368590127,0.4336716767938123,0.9311200993460738,0.010453211028289765,0.17761837170099393,0.011024115936564306,0.06330907833748588,0.005256707735447723,0.13578318142272705,0.009300082196168832,0.8831676227924403,0.05374047090099193,0.20276056588369065,0.04302456358511242,0.11143788797676522,0.024604952434004398,0.1619027474962709,0.04060222169082334,0.7186903435444756,0.04914464791029191,8.93428169152871,0.6859704377191386,0.130895664984537,0.013551682428604982,7.123449280058276,0.5284986336831543,0.47199863327768393,0.5172410795585584,9.830612967732671,2.939560150957712,0.21582601706787155,0.10139272527283627,7.874019814741355,2.3836300784366014,0.2586509424745861,0.07950707722751957,2.7924965405933038,0.20656440825277952,0.20612541821228864,0.016405412065638003,2.221424406776882,0.18508788270042997,-0.13092121078396077,0.5609311343388769,3.074527586487148,0.8146295624992687,0.3348877380296497,0.08073187532613,2.4917412070430185,0.6639963075442932,0.17824611115399702,0.48792843221143123,0.17235637792755104,1.1936640991508367
Dataset_3772,multi_output,ALL,svr_rbf,0.6356308424683553,0.013406794849615922,6.930108618331831,0.3103658378353938,0.038003117664769326,0.0014511732342034588,3.241571559922868,0.16947690806549873,0.44322515121214684,0.09344169765245447,7.331517323301267,1.5994685530759667,0.04198790369250198,0.008594322794899042,3.7813830386240452,0.7644312679073697,0.8709051794317548,0.020342898184926857,0.07443443075140745,0.0026655345910855948,0.0981156607587652,0.011213630299349908,0.06555800346324664,0.003527741740653522,0.7189838441467831,0.15611393678519855,0.09990650916745616,0.043860541158805576,0.17936387295448708,0.060166275678890845,0.08268221082740672,0.03816516760608766,0.6791933921069594,0.026235716493249153,3.1503359395117343,0.17572808117462987,0.1551775781062836,0.007091653538948951,2.489601681718347,0.14947099445074,0.43659204448518146,0.1974970360234243,3.765235874075884,0.9675575181749411,0.2562565763045557,0.05252588178578175,3.2471799020096,0.9336006360499394,0.9701592019345106,0.008602015646805558,0.11575234915561214,0.014544127133179877,0.04121336845296693,0.005215507098237891,0.09346569716429283,0.007540231130803674,0.8442514928151661,0.11237569733134109,0.23008011191715577,0.08307167718288981,0.12547104602485837,0.042565783323814596,0.1800585872680237,0.06046143654894864,0.2195550412167363,0.021575647270548122,14.973127363727743,0.6954599243307428,0.21884350841644995,0.009665899978157413,11.932511848989215,0.7093456318406207,0.028380647607179,0.16829210659221752,15.656122592257606,3.616874587786584,0.31894593078542993,0.03889529607569444,13.253337453470909,3.188433453101444,0.4383413976518154,0.05138872874415236,2.434000087468948,0.19834897930233755,0.17941011890645156,0.01226949422711553,1.6267205682792385,0.14402898870455363,0.18791772700642473,0.22195427299791112,2.7269349521200383,0.9011557402845974,0.2883347869050867,0.04678032492644399,2.143657039544291,0.6758806234212197,0.1924056912562085,0.4014087049694366,0.09344169765245447,1.5994685530759667
