model,dataset,n_fold_obs,test_r2_mean,test_r2_std,test_rmse_mean,test_rmse_std,test_nrmse_mean,test_mae_mean,gap_r2_mean
gradient_boosting,Dataset_0136,175,0.8406101680996172,0.29007341010298343,2.3255607103255636,2.113748903069887,0.10557003765426974,1.8612072481055684,0.11201291002818903
gradient_boosting,Dataset_0172,125,0.8777807183691493,0.17904763569197937,1.9923859704508737,2.476515956608066,0.08331027817477024,1.5181853709844253,0.0799312780717067
gradient_boosting,Dataset_3772,125,0.7218020269500073,0.3657635378495599,2.4713142433101614,3.1001621423828603,0.15228726920697486,1.9906310601896458,0.19644066864983475
lightgbm,Dataset_0136,175,0.9168485030637363,0.12840266967404593,1.7350929805203779,1.6404615709399475,0.07978306006995761,1.3877383487596018,0.07105273727918465
lightgbm,Dataset_0172,125,0.916135386306914,0.08805607009450354,1.7117406017542538,2.0975992406548016,0.07255589039516629,1.2777635949257296,0.06881259685505223
lightgbm,Dataset_3772,125,0.738769512892299,0.4210673194669821,2.3136807183848846,3.1215381177596173,0.14389885410333533,1.7486608436719508,0.2249319190077333
xgboost,Dataset_0136,175,0.9076340331195455,0.15557868973298838,1.6268228015239061,1.391798958815369,0.08119855532530318,1.3194281370886978,0.08083435178350612
xgboost,Dataset_0172,125,0.9188298604017752,0.09236692686583976,1.698879642179329,2.137096122122818,0.06966872717615066,1.2313938397286552,0.059798137368453005
xgboost,Dataset_3772,125,0.7729384112634159,0.35342280462555453,2.199181743550472,2.8680069304494533,0.13432748165164737,1.6895006110469102,0.19922274286043945
