model,n_fold_obs,test_r2_mean,test_r2_std,test_rmse_mean,gap_r2_mean,gap_r2_std
xgboost,425,0.871310564127222,0.23026281633020276,1.8163568552539027,0.10946734491935324,0.22247161497208223
lightgbm,425,0.864262589261307,0.25973503446422724,1.898397497902255,0.1156524553098953,0.25369749439109174
gradient_boosting,425,0.816599111958418,0.2949943978374472,2.270436825946125,0.12740882963559003,0.2371236580122852
