dataset,var_a,var_b,tau,p_value,ci_lower,ci_upper
Dataset_0172,Composite Volume Fraction (%),Ultimate Compression Strength (MPa),0.4053,0.0,0.2486,0.5359
Dataset_0172,Composite Volume Fraction (%),Elongation (%),0.2859,0.0037,0.1092,0.4569
Dataset_0172,Si Particle Size (um),Hardness (HV),-0.6501,0.0,-0.7546,-0.5311
Dataset_0172,Si Particle Size (um),wear rate,0.9153,0.0,0.8839,0.9426
Dataset_0172,Si Particle Size (um),Ultimate Compression Strength (MPa),-0.1291,0.1117,-0.2453,0.0012
Dataset_0172,Si Particle Size (um),Elongation (%),-0.0708,0.3862,-0.2216,0.0872
Dataset_0172,Hardness (HV),wear rate,-0.6707,0.0,-0.7693,-0.5625
Dataset_0172,Hardness (HV),Ultimate Compression Strength (MPa),-0.0956,0.2426,-0.2379,0.0461
Dataset_0172,Hardness (HV),Elongation (%),-0.0846,0.3039,-0.2394,0.0696
Dataset_0172,wear rate,Ultimate Compression Strength (MPa),-0.1065,0.1876,-0.2314,0.0239
Dataset_0172,wear rate,Elongation (%),-0.0677,0.4053,-0.2226,0.0938
Dataset_0172,Ultimate Compression Strength (MPa),Elongation (%),0.5437,0.0,0.415,0.6603
Dataset_3772,Tool Shape,Rotational Speed,0.0,1.0,-0.3073,0.281
Dataset_3772,Tool Shape,Plunging Speed,0.0,1.0,-0.3054,0.2834
Dataset_3772,Tool Shape,Si Particle Size (um),-0.2243,0.0921,-0.4556,0.046
Dataset_3772,Tool Shape,Hardness (HV),0.337,0.0119,0.1017,0.5506
Dataset_3772,Tool Shape,wear rate,-0.2573,0.0519,-0.4788,-0.0215
Dataset_3772,Tool Shape,Ultimate Compression Strength (MPa),0.3094,0.0195,0.0727,0.516
Dataset_3772,Tool Shape,Elongation (%),0.1359,0.3091,-0.1285,0.3728
Dataset_3772,Rotational Speed,Plunging Speed,0.0,1.0,-0.2946,0.2923
Dataset_3772,Rotational Speed,Si Particle Size (um),-0.7749,0.0,-0.8496,-0.6684
Dataset_3772,Rotational Speed,Hardness (HV),0.5987,0.0,0.4273,0.7244
Dataset_3772,Rotational Speed,wear rate,-0.6263,0.0,-0.7399,-0.4849
Dataset_3772,Rotational Speed,Ultimate Compression Strength (MPa),-0.2808,0.0287,-0.4699,-0.08
Dataset_3772,Rotational Speed,Elongation (%),-0.2288,0.0773,-0.4683,0.026
Dataset_3772,Plunging Speed,Si Particle Size (um),0.2263,0.0894,-0.0244,0.4663
Dataset_3772,Plunging Speed,Hardness (HV),-0.3156,0.0186,-0.5451,-0.0777
Dataset_3772,Plunging Speed,wear rate,0.3821,0.0039,0.1408,0.5988
Dataset_3772,Plunging Speed,Ultimate Compression Strength (MPa),0.5322,0.0001,0.3342,0.7039
Dataset_3772,Plunging Speed,Elongation (%),0.2524,0.0589,-0.038,0.5133
Dataset_3772,Si Particle Size (um),Hardness (HV),-0.8169,0.0,-0.9075,-0.6899
Dataset_3772,Si Particle Size (um),wear rate,0.8324,0.0,0.7321,0.9134
Dataset_3772,Si Particle Size (um),Ultimate Compression Strength (MPa),0.3018,0.0103,0.1082,0.4681
Dataset_3772,Si Particle Size (um),Elongation (%),0.2449,0.0391,-0.0083,0.4673
Dataset_3772,Hardness (HV),wear rate,-0.8498,0.0,-0.92,-0.7555
Dataset_3772,Hardness (HV),Ultimate Compression Strength (MPa),-0.2684,0.0234,-0.4641,-0.068
Dataset_3772,Hardness (HV),Elongation (%),-0.1863,0.119,-0.4044,0.0475
Dataset_3772,wear rate,Ultimate Compression Strength (MPa),0.3363,0.004,0.1318,0.5145
Dataset_3772,wear rate,Elongation (%),0.248,0.0356,-0.01,0.4906
Dataset_3772,Ultimate Compression Strength (MPa),Elongation (%),0.5012,0.0,0.2618,0.6903
