dataset,mode,target,model,train_r2_mean,train_r2_std,train_rmse_mean,train_rmse_std,train_nrmse_mean,train_nrmse_std,train_mae_mean,train_mae_std,test_r2_mean,test_r2_std,test_rmse_mean,test_rmse_std,test_nrmse_mean,test_nrmse_std,test_mae_mean,test_mae_std,gap_r2,gap_rmse,stability_test_r2_std,stability_test_rmse_std
Dataset_0136,single_output,Elongation (%),ann,0.306731533001632,0.2760037940362315,2.238623653298895,0.5385619375409572,0.20555612843867796,0.05079494647288503,1.7892183454916326,0.47875555856451496,-0.004777480888898915,0.28528007620777096,2.5434120908932076,0.6736273955132605,0.3247590133941223,0.05488881847651801,2.034261026247985,0.5734704795653883,0.3115090138905309,0.3047884375943126,0.28528007620777096,0.6736273955132605
Dataset_0136,single_output,Elongation (%),elasticnet,0.2433074606775657,0.07179665481778473,2.396853330600288,0.18244564037352193,0.2194253982322925,0.014749787737540208,1.8519561085085738,0.18096159937657716,-0.12225168230945471,0.4716867226926565,2.6649684881771027,0.7764259895429574,0.33755823199194723,0.06596299861927336,2.1531749674954743,0.584176408702452,0.3655591429870204,0.2681151575768146,0.4716867226926565,0.7764259895429574
Dataset_0136,single_output,Elongation (%),extra_trees,0.879797190644784,0.058299312576976285,0.929115891431095,0.1871397034063032,0.08545828263901085,0.01940784440556571,0.692633407244506,0.13506328121930058,0.4930840429414411,0.4466746335352898,1.7280301314814495,0.8950528660739516,0.21862855626422312,0.09313009027609784,1.3545208219954663,0.7004890490707494,0.3867131477033429,0.7989142400503545,0.4466746335352898,0.8950528660739516
Dataset_0136,single_output,Elongation (%),gpr,0.9947852929295855,0.014223017789506031,0.07252083351457314,0.18036618842866153,0.00685251994654507,0.017123192807341814,0.05181676791104046,0.12958536012186803,0.5258918643165158,0.20869111215794064,1.7400301220335377,0.6225940345884544,0.21983707712602008,0.055734090609495426,1.3736815197031624,0.514995798298728,0.4688934286130697,1.6675092885189646,0.20869111215794064,0.6225940345884544
Dataset_0136,single_output,Elongation (%),gradient_boosting,0.7568274904558546,0.1919166934616061,1.2567647722406377,0.5700493683787782,0.11525421216558784,0.051854958207467355,0.9324872583588042,0.43501822684599367,0.34028521106223325,0.49569308205048923,1.9068100487593063,0.6679549804785602,0.2506689809009563,0.08772811208652598,1.475975964215866,0.4708629449487772,0.4165422793936214,0.6500452765186686,0.49569308205048923,0.6679549804785602
Dataset_0136,single_output,Elongation (%),lightgbm,0.9608819790593983,0.017741091803726128,0.5238127796848293,0.1176121451875633,0.048105009530260784,0.011328886015864195,0.36994509306653994,0.08088067341629794,0.7559433282862998,0.21360387415710083,1.1195268855728857,0.4011981419184092,0.14938582958642938,0.06613940229027856,0.8466474880829716,0.2715016146543378,0.20493865077309847,0.5957141058880564,0.21360387415710083,0.4011981419184092
Dataset_0136,single_output,Elongation (%),linear_regression,0.24616046637545824,0.07205767378725146,2.3923109741480437,0.18294139357659203,0.21900952727151182,0.01480726379841157,1.8129674224204424,0.18528285946435652,-0.14131607049773254,0.528957014568542,2.6717024260759374,0.7962859949435318,0.3386753768041471,0.07326580767472061,2.127950186646815,0.5861630346155543,0.3874765368731908,0.2793914519278937,0.528957014568542,0.7962859949435318
Dataset_0136,single_output,Elongation (%),random_forest,0.784222101193381,0.04402024186958984,1.2702096890213015,0.10798861489001223,0.11652020780796113,0.01175960145846225,0.8921515465652763,0.08798646026260865,0.3652480222433136,0.3799028406317194,1.9833818082805121,0.7326534782701637,0.2513799227731637,0.07229142657700954,1.5190232162629038,0.5757924544408585,0.4189740789500674,0.7131721192592106,0.3799028406317194,0.7326534782701637
Dataset_0136,single_output,Elongation (%),ridge,0.24587580328272807,0.07198587674137291,2.392770093196259,0.18287133675694503,0.21905141542220036,0.014797079074008134,1.826001081619499,0.18278350532548215,-0.12970245050142165,0.507950594100711,2.66318713254654,0.7878170797402597,0.3374951195696623,0.0706947067617703,2.13193408334487,0.583411118660972,0.3755782537841497,0.27041703935028094,0.507950594100711,0.7878170797402597
Dataset_0136,single_output,Elongation (%),svr_rbf,0.5159357594209534,0.049673692686802315,1.9165084670312107,0.14833921852716203,0.17541465162002534,0.011452942115335984,1.2476473918297224,0.11657495622806044,0.18906014027986018,0.3090938062817621,2.3018429387667796,0.7769926329288647,0.28799072715342644,0.055775533197124604,1.767154073391543,0.597771568234551,0.3268756191410932,0.3853344717355689,0.3090938062817621,0.7769926329288647
Dataset_0136,single_output,Elongation (%),xgboost,0.9548437196189244,0.01350111098470275,0.5765518977328642,0.07358963953435016,0.05296360656107016,0.007966721157065365,0.4599063105700638,0.053262748233836976,0.6429897111245225,0.2575806085784553,1.4088169603745146,0.39165039225104015,0.1871604232251793,0.06438924885371317,1.1267952474866594,0.29953885669646435,0.3118540084944019,0.8322650626416505,0.2575806085784553,0.39165039225104015
Dataset_0136,single_output,Hardness (HV),ann,0.9489825520984835,0.011602474618928901,1.2374787449503855,0.14462075978796288,0.05887845135389473,0.00893099101401353,0.9882638067591826,0.12563452285114243,0.851728935029619,0.113904198603351,1.691011570046046,0.4333041325794774,0.11855398810993205,0.045063296121334986,1.429538024324416,0.38315950435895146,0.09725361706886448,0.4535328250956605,0.113904198603351,0.4333041325794774
Dataset_0136,single_output,Hardness (HV),elasticnet,0.9404118490075187,0.008793307714829392,1.3406035034440276,0.07210844455666272,0.06369162841665753,0.0062413604267084226,1.1344689375872319,0.0771994801630757,0.8905247427954512,0.07971489697481757,1.5081913276915702,0.35410280155785623,0.10392606254187425,0.0357805903028716,1.3287914311695643,0.3461349921453364,0.04988710621206749,0.1675878242475426,0.07971489697481757,0.35410280155785623
Dataset_0136,single_output,Hardness (HV),extra_trees,0.9401365447849226,0.015785407370830427,1.3331597176847865,0.12975218105426464,0.06352627273151619,0.009704174899326673,1.102855694854957,0.10809248881992735,0.6688150135197805,0.20573885313207635,2.707771989898961,0.5745093037828213,0.18319378378828138,0.047155745648315345,2.290769635487513,0.5697090704976739,0.27132153126514214,1.3746122722141747,0.20573885313207635,0.5745093037828213
