dataset,mode,target,model,seed,fold,train_r2,train_rmse,train_nrmse,train_mae,test_r2,test_rmse,test_nrmse,test_mae
Dataset_0136,single_output,Si Particle Size (um),linear_regression,42,0,0.9121906651298551,0.2437951556989443,0.073877319908771,0.19890112521992478,0.9534036062609661,0.1724997559832656,0.0821427409444122,0.14037104703783754
Dataset_0136,single_output,Si Particle Size (um),linear_regression,42,1,0.918981409152563,0.23671876011227913,0.07173295760978156,0.18552632211648673,0.9335228510416688,0.19373154869733097,0.09269452090781387,0.1725037776783134
Dataset_0136,single_output,Si Particle Size (um),linear_regression,42,2,0.93149027851344,0.1843854497836604,0.08381156808348199,0.16019141021735658,0.7934113065886947,0.4393083023438257,0.1657767178655946,0.3196212285012155
Dataset_0136,single_output,Si Particle Size (um),linear_regression,42,3,0.9229271549905094,0.231263603193329,0.07029288850861065,0.18972212883286357,0.7100784491740546,0.23356494960936422,0.16683210686383157,0.1643055273409399
Dataset_0136,single_output,Si Particle Size (um),linear_regression,42,4,0.9462704649663684,0.2021467562869059,0.06125659281421391,0.15860983758896155,0.614408515397791,0.34149926948273185,0.2008819232251364,0.32201181531730644
Dataset_0136,single_output,Si Particle Size (um),linear_regression,123,0,0.9301650160876408,0.22448027150982236,0.06802432469994617,0.17169878844599054,0.8674708300429683,0.25531898768523853,0.12765949384261926,0.24015870228792427
Dataset_0136,single_output,Si Particle Size (um),linear_regression,123,1,0.9279670284146684,0.23003821279558104,0.06970854933199426,0.1871729513087479,0.8117673233776377,0.24853782367620791,0.19118294128939073,0.21202320691420878
Dataset_0136,single_output,Si Particle Size (um),linear_regression,123,2,0.9342311867502681,0.21455595801432958,0.06501695697403927,0.16611979446392847,0.8349446098224325,0.3035179396174078,0.15252157769718988,0.2642005930845954
Dataset_0136,single_output,Si Particle Size (um),linear_regression,123,3,0.9082197889087055,0.2311781652489459,0.070266919528555,0.19234027238838858,0.9486532266267232,0.23090433699148202,0.08880936038133926,0.15495012776184133
Dataset_0136,single_output,Si Particle Size (um),linear_regression,123,4,0.9244422544926951,0.2156243729914686,0.08293245115056486,0.17900163062332441,0.8875081271579032,0.29951048263842905,0.10696802951372467,0.20820070194338494
Dataset_0136,single_output,Si Particle Size (um),linear_regression,7,0,0.9186746937313348,0.2063133754352446,0.0859639064313519,0.17230003218201936,0.8990035083598926,0.32786909093331623,0.10928969697777209,0.24961851544858077
Dataset_0136,single_output,Si Particle Size (um),linear_regression,7,1,0.9285544217722417,0.21268235516712145,0.06464509275596397,0.16986901753496167,0.9006635284627256,0.28780975246247464,0.11992073019269775,0.2385754689572732
Dataset_0136,single_output,Si Particle Size (um),linear_regression,7,2,0.918369463626661,0.23709944171297098,0.07184831567059727,0.19418660693790132,0.9215285197734583,0.2051495472622557,0.10257477363112785,0.16704126169742736
Dataset_0136,single_output,Si Particle Size (um),linear_regression,7,3,0.92837490809764,0.2278486137979712,0.0690450344842337,0.1820792025440751,0.846729499248189,0.25069710414899204,0.1259784442959759,0.19931597999662357
Dataset_0136,single_output,Si Particle Size (um),linear_regression,7,4,0.9287298693477125,0.234826867465786,0.07115965680781394,0.18473575431111278,0.8415829764748126,0.19977835450044854,0.13318556966696568,0.17399262306752325
