train_size,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std
17,0.506174173490669,0.03935793935150155,2.310712697062492,0.32824127957197047
25,0.5729819053710198,0.09017856656045327,1.976274727621761,0.4179141890844243
33,0.5481360356437198,0.08124700023946897,1.8636737543152766,0.35550924840050957
41,0.6006850402682538,0.07590439463764838,1.580384902497837,0.36355899281662646
49,0.6397443566540776,0.12254701206967246,1.5093421573145074,0.4230215630968241
57,0.6479684367683998,0.05136522218535244,1.5228009685626185,0.3889320468317807
