train_size,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std
17,0.10161082470999075,0.02819273707663537,0.27363220924927634,0.09964318890870377
25,0.08941133805685475,0.015344412169587342,0.22288732333054856,0.09632439008228537
33,0.07667406591500338,0.00856834386882832,0.17434829227292986,0.08109027655147252
41,0.07895323228347988,0.012999197030378086,0.18142457114828456,0.08089631680035178
49,0.07225590441431262,0.010266558121674464,0.16335813956546952,0.07669098395250934
57,0.06754837958720408,0.008230798244028984,0.13571905144518176,0.05725400347832014
