train_size,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std
17,0.07175904621234637,0.020110771938176772,0.25705619737464624,0.084398626671381
25,0.07437196616277626,0.012776336886673475,0.20243564179784906,0.09217657389065083
33,0.07118838571715114,0.008822726014270256,0.1521193405733822,0.06652438264250443
41,0.07296007149631378,0.008799508535524287,0.14045238565976909,0.05793399729296242
49,0.0738647137837519,0.008532213908157265,0.13260661660420187,0.05461642416012819
57,0.07692207529547974,0.009834229554000276,0.12438831637473717,0.04965794856558809
