feature,importance_mean,importance_std
Rotational Speed,5.395048597064206,0.4312903303136899
Composite Volume Fraction (%),3.0153687412083645,0.2233934124270613
Tool Shape,2.9616347245630905,0.22645705388718795
Plunging Speed,2.829724955713788,0.24653478218131603
