rank,dataset,model,target,feature,mean_abs_shap,effect_sign,pearson_r_feature_vs_shap,spearman_rho_feature_vs_shap,linearity,interaction_strength_ratio
1,Dataset_0136,lightgbm,Temperature (°C),Rotational Speed,22.639708907583433,positive,0.9698473486772519,0.9686196045011367,approximately linear,0.0009806558250196032
2,Dataset_0136,lightgbm,Temperature (°C),Plunging Speed,10.795912644614722,negative,-0.99563864541932,-0.9460998335825321,approximately linear,0.0009806558250196032
3,Dataset_0136,lightgbm,Temperature (°C),Tool Shape,5.87197642999549,negative,-0.9810088363051512,-0.9460998335825321,approximately linear,0.0009806558250196032
1,Dataset_0136,gradient_boosting,Temperature (°C),Rotational Speed,22.75258502202967,positive,0.9699811254673469,0.9686196045011367,approximately linear,0.0066164587449299185
2,Dataset_0136,gradient_boosting,Temperature (°C),Plunging Speed,10.622663998854541,negative,-0.9952871386293956,-0.943172990270231,approximately linear,0.0066164587449299185
3,Dataset_0136,gradient_boosting,Temperature (°C),Tool Shape,5.406322660858487,negative,-0.9840430025137596,-0.943172990270231,approximately linear,0.0066164587449299185
1,Dataset_0136,xgboost,Strain,Rotational Speed,19.153183513217503,positive,0.9900625424183837,0.9686196045011367,approximately linear,0.004071091745086119
2,Dataset_0136,xgboost,Strain,Plunging Speed,10.420967455263492,negative,-0.9840227950090877,-0.943172990270231,approximately linear,0.004071091745086119
3,Dataset_0136,xgboost,Strain,Tool Shape,4.009142487137407,positive,0.9906006826978414,0.943172990270231,approximately linear,0.004071091745086119
1,Dataset_0136,lightgbm,Strain,Rotational Speed,19.143515958990427,positive,0.989831220427319,0.9686196045011367,approximately linear,0.003934675871761186
2,Dataset_0136,lightgbm,Strain,Plunging Speed,10.398656412781547,negative,-0.9833705968244933,-0.9460998335825321,approximately linear,0.003934675871761186
3,Dataset_0136,lightgbm,Strain,Tool Shape,3.990587401908856,positive,0.9923385578742624,0.9460998335825321,approximately linear,0.003934675871761186
1,Dataset_0136,gradient_boosting,Strain,Rotational Speed,18.798895294599482,positive,0.9892885976264113,0.9686196045011367,approximately linear,0.008206173798280248
2,Dataset_0136,gradient_boosting,Strain,Plunging Speed,10.240202738900377,negative,-0.9841838790239442,-0.943172990270231,approximately linear,0.008206173798280248
3,Dataset_0136,gradient_boosting,Strain,Tool Shape,3.786235946034047,positive,0.9930507887415595,0.943172990270231,approximately linear,0.008206173798280248
