rank,dataset,model,target,feature,mean_abs_shap,effect_sign,pearson_r_feature_vs_shap,spearman_rho_feature_vs_shap,linearity,interaction_strength_ratio
1,Dataset_0172,lightgbm,Si Particle Size (um),Composite Volume Fraction (%),0.7141961632876125,negative,-0.9809954941578902,-0.8661089445557502,approximately linear,0.01879439029053325
2,Dataset_0172,lightgbm,Si Particle Size (um),Rotational Speed,0.42207005552350246,negative,-0.9390024016388415,-0.9354635231041518,approximately linear,0.01879439029053325
3,Dataset_0172,lightgbm,Si Particle Size (um),Tool Shape,0.15135489751223813,negative,-0.9040723123064036,-0.9175268124600868,approximately linear,0.01879439029053325
4,Dataset_0172,lightgbm,Si Particle Size (um),Plunging Speed,0.1301677290591409,positive,0.9425011744205121,0.9428999892542551,approximately linear,0.01879439029053325
