dataset,target,model,random_search_best_rmse,random_search_best_params
Dataset_3772,Si Particle Size (um),linear_regression,0.07479808475774001,{}
Dataset_3772,Si Particle Size (um),ridge,0.07408278733077864,{'model__alpha': np.float64(1.1462107403425035)}
Dataset_3772,Si Particle Size (um),elasticnet,0.07464463913184098,"{'model__alpha': np.float64(0.01653693718282442), 'model__l1_ratio': np.float64(0.1379049026057455)}"
Dataset_3772,Si Particle Size (um),svr_rbf,0.05324634075160904,"{'model__C': np.float64(9.717775305059629), 'model__epsilon': np.float64(0.00861257919259488), 'model__gamma': np.float64(0.12030178871154672)}"
Dataset_3772,Si Particle Size (um),gpr,0.061981461275516035,"{'model__alpha': np.float64(4.247270739805821e-06), 'model__n_restarts_optimizer': 9}"
Dataset_3772,Si Particle Size (um),random_forest,0.0634402561978326,"{'model__max_depth': 4, 'model__max_features': np.float64(0.6755493351795203), 'model__min_samples_leaf': 1, 'model__n_estimators': 199}"
Dataset_3772,Si Particle Size (um),extra_trees,0.06285059535365103,"{'model__max_depth': 4, 'model__max_features': np.float64(0.8627622080115674), 'model__min_samples_leaf': 1, 'model__n_estimators': 589}"
Dataset_3772,Si Particle Size (um),gradient_boosting,0.045961230537739504,"{'model__learning_rate': np.float64(0.043767126303409544), 'model__max_depth': 2, 'model__min_samples_leaf': 2, 'model__n_estimators': 489, 'model__subsample': np.float64(0.6831766651472755)}"
Dataset_3772,Si Particle Size (um),xgboost,0.046192649608845615,"{'model__learning_rate': np.float64(0.031420647964844825), 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 640, 'model__reg_alpha': np.float64(0.008226074946221037), 'model__reg_lambda': np.float64(0.01701922302655402), 'model__subsample': np.float64(0.7159005811655073)}"
Dataset_3772,Si Particle Size (um),ann,0.06513322904858732,"{'regressor__model__alpha': np.float64(0.00011299516083106625), 'regressor__model__hidden_layer_sizes': (8,), 'regressor__model__learning_rate_init': np.float64(0.00853618986286683)}"
Dataset_3772,Si Particle Size (um),lightgbm,0.03958902951035881,"{'model__learning_rate': np.float64(0.08124173472387221), 'model__max_depth': 4, 'model__min_child_samples': 4, 'model__n_estimators': 492, 'model__num_leaves': 12, 'model__reg_alpha': np.float64(0.0012637946338082875), 'model__reg_lambda': np.float64(0.021070472806578238)}"
Dataset_3772,Hardness (HV),linear_regression,2.250134945035355,{}
Dataset_3772,Hardness (HV),ridge,2.2501608035612377,{'model__alpha': np.float64(0.001267425589893723)}
Dataset_3772,Hardness (HV),elasticnet,2.250551267605839,"{'model__alpha': np.float64(0.0012087541473056963), 'model__l1_ratio': np.float64(0.922918866945795)}"
Dataset_3772,Hardness (HV),svr_rbf,2.100865237541999,"{'model__C': np.float64(9.717775305059629), 'model__epsilon': np.float64(0.00861257919259488), 'model__gamma': np.float64(0.12030178871154672)}"
Dataset_3772,Hardness (HV),gpr,2.233281088549253,"{'model__alpha': np.float64(3.676834516546548e-05), 'model__n_restarts_optimizer': 5}"
Dataset_3772,Hardness (HV),random_forest,2.2767441344994923,"{'model__max_depth': 4, 'model__max_features': np.float64(0.6755493351795203), 'model__min_samples_leaf': 1, 'model__n_estimators': 199}"
