dataset,mode,target,model,seed,fold,train_r2,train_rmse,train_nrmse,train_mae,test_r2,test_rmse,test_nrmse,test_mae,train_Si Particle Size (um)__r2,train_Si Particle Size (um)__rmse,train_Si Particle Size (um)__nrmse,train_Si Particle Size (um)__mae,test_Si Particle Size (um)__r2,test_Si Particle Size (um)__rmse,test_Si Particle Size (um)__nrmse,test_Si Particle Size (um)__mae,train_Hardness (HV)__r2,train_Hardness (HV)__rmse,train_Hardness (HV)__nrmse,train_Hardness (HV)__mae,test_Hardness (HV)__r2,test_Hardness (HV)__rmse,test_Hardness (HV)__nrmse,test_Hardness (HV)__mae,train_wear rate__r2,train_wear rate__rmse,train_wear rate__nrmse,train_wear rate__mae,test_wear rate__r2,test_wear rate__rmse,test_wear rate__nrmse,test_wear rate__mae,train_Ultimate Compression Strength (MPa)__r2,train_Ultimate Compression Strength (MPa)__rmse,train_Ultimate Compression Strength (MPa)__nrmse,train_Ultimate Compression Strength (MPa)__mae,test_Ultimate Compression Strength (MPa)__r2,test_Ultimate Compression Strength (MPa)__rmse,test_Ultimate Compression Strength (MPa)__nrmse,test_Ultimate Compression Strength (MPa)__mae,train_Elongation (%)__r2,train_Elongation (%)__rmse,train_Elongation (%)__nrmse,train_Elongation (%)__mae,test_Elongation (%)__r2,test_Elongation (%)__rmse,test_Elongation (%)__nrmse,test_Elongation (%)__mae,train_Temperature (°C)__r2,train_Temperature (°C)__rmse,train_Temperature (°C)__nrmse,train_Temperature (°C)__mae,test_Temperature (°C)__r2,test_Temperature (°C)__rmse,test_Temperature (°C)__nrmse,test_Temperature (°C)__mae,train_Strain__r2,train_Strain__rmse,train_Strain__nrmse,train_Strain__mae,test_Strain__r2,test_Strain__rmse,test_Strain__nrmse,test_Strain__mae
Dataset_0136,multi_output,ALL,xgboost,42,0,0.9919052776781344,0.7317245936861295,0.001704856928439258,0.48224803835518515,0.8842711832250281,1.9995411700120305,0.004725930442004326,1.2446060560430798,0.9908379059400252,0.07875027898654607,0.023863720905013965,0.059450383356639304,0.9777558379889669,0.11918465855232015,0.05675459931062864,0.08561778664588936,0.993060398257214,0.44162076362566705,0.020073671073893958,0.35023901803152924,0.9565348091979233,1.2514168103245058,0.08073656840803263,0.9358352661132798,0.9934035002721302,0.07905643805429576,0.019141994686270158,0.06478098705836717,0.9525559931410192,0.19951153995029566,0.08077390281388486,0.17945470571517952,0.9918156072334443,1.432379989574745,0.02310290305765718,1.145000784737723,0.9387944309978622,3.9272845968028354,0.08355924674048586,2.843966484069824,0.9759025572738264,0.4663102252894978,0.04163484154370516,0.39261003221784324,0.3744066408372615,1.3080137951672073,0.22551961985641503,0.9652705430984496,0.9991684173591517,0.8647694180498524,0.007721155518302254,0.7105091639927456,0.9943393065326769,2.3549895915426777,0.02065780343458489,1.9412193298339844,0.999148557411148,0.7235205140107231,0.007382862387864522,0.6531458990914482,0.9955112638794865,1.9200677057162185,0.023133345852002635,1.7608782768249505
Dataset_0136,multi_output,ALL,xgboost,42,1,0.9844632801177668,0.8441178339866193,0.0019946073581914446,0.5275288571653693,0.9593025489184903,1.7835298354219176,0.0041555717407719605,1.1430461185416394,0.9917815245368388,0.07539385781522791,0.022846623580372094,0.06376558090078419,0.98872495781915,0.07978536665947308,0.038174816583479945,0.05345057964324949,0.9957559939308605,0.3664844228153355,0.016658382855242522,0.29439544677734375,0.9547454197079396,1.0213541275557403,0.0756558613004252,0.9698431832449776,0.9932253349542041,0.08322818807109135,0.020152103649174663,0.07379639092807115,0.9666930462083988,0.13479336739039258,0.06984112300020341,0.11631802804129496,0.9854761919641878,1.7817684830906892,0.03493663692334685,1.4147021589608024,0.9682615145437502,3.4898223518629647,0.05628745728811233,2.5522890363420743,0.926595279869876,0.6563955806002585,0.06909427164213247,0.5467806585903826,0.8439063008205016,1.3934411341585473,0.13398472443832188,1.0612312589372905,0.999059362617797,0.9043908398525498,0.007933252981162717,0.7640359812769396,0.9955327667633872,2.2480271294931495,0.021409782185649043,2.0554330008370534,0.9993492729506038,0.6460228707651435,0.006592070109848403,0.535225782723262,0.997253836566305,1.4230204810598206,0.02092677178029148,1.1927577427455358
Dataset_0136,multi_output,ALL,xgboost,42,2,0.988430711215038,0.7163231346771528,0.0016689728207762182,0.4697813208537735,0.8581572086217852,2.28499523919423,0.005806111648314649,1.2553512194302618,0.9854180506252362,0.08506645586586224,0.0386665708481192,0.07018559521642227,0.8407365418546962,0.38572181994232324,0.14555540375182013,0.27662270750318246,0.9916758816449107,0.4684646147545883,0.025322411608356122,0.3664117747339705,0.9664097560042262,1.0894813171327318,0.06809258232079574,0.8592289515904018,0.9860262007499329,0.10354604221812197,0.027909984425369804,0.07966793073456864,0.9491017893854277,0.23717307039074606,0.07601700974062374,0.15615328761509492,0.9938285202253034,1.3619066562587832,0.021966236391270696,1.057424190126616,0.47299274002092573,5.371769362733018,0.2557985410825247,3.9724086216517867,0.9635420764468092,0.5313130640406938,0.049655426545859235,0.43929036896804274,0.7898488577809515,1.2482899629357103,0.13139894346691686,1.1207552773611889,0.9993262928817251,0.8179496539518338,0.006816247116265282,0.6548388250942888,0.9961893295106936,1.381802888077372,0.019191706778852388,1.1614554268973214,0.9991979559313486,0.740465869627981,0.007794377575031379,0.620650561102505,0.9918214457955766,1.6831243668964317,0.03581115674247727,1.2408342633928575
Dataset_0136,multi_output,ALL,xgboost,42,3,0.9879806451027846,0.9059909918487155,0.0021109322021685395,0.5399693501665087,0.8982281894198255,1.9102233773902202,0.004645484867194115,1.3710921985275888,0.9911572108826407,0.0783341664827646,0.023809777046433014,0.05831591639025459,0.9085169178789876,0.1312012021749719,0.0937151444106942,0.09731312138693672,0.9970303566271808,0.30775967278473526,0.014655222513558821,0.2379206164129852,0.7574529861115273,1.4969674883149047,0.14969674883149048,1.0744267054966505,0.9930073306928754,0.08293337465137506,0.020785306930169185,0.06686356406376279,0.8734074229206272,0.19338303281941632,0.10396937248355714,0.16417583193097787,0.9868425879878212,1.8573283179360436,0.029956908353807155,1.3789114064183727,0.9667796320089176,2.3719186606967786,0.0551608990859716,2.188084847586495,0.9501560035713835,0.6387915181246717,0.05703495697541712,0.48263347231108555,0.8153241328696332,0.989867358013315,0.14345903739323407,0.8614507130214145,0.9985505940054807,1.1109755074797243,0.009258129228997703,0.9691719844423491,0.9886990608887617,2.783078383372708,0.040334469324242145,2.598475864955357,0.9991204319521095,0.7389302242160394,0.00821033582462266,0.5859684911267508,0.9774171732603241,2.982581137097859,0.04660283026715405,2.6137183053152904
Dataset_0136,multi_output,ALL,xgboost,42,4,0.9897780757798206,0.8229581782910312,0.0019174235281710886,0.4741891835710685,0.9108240914483423,1.8450938840615378,0.0047201173805616215,1.244925545887071,0.9965520933245368,0.05120802036297356,0.015517581928173808,0.04112397300785986,0.8621534800224189,0.2041850614210186,0.12010885965942274,0.15470102514539447,0.9948520028214569,0.4177605761370189,0.01898911709713722,0.31844203554350786,0.9694112639422757,0.7302946115537285,0.04967990554787268,0.473001316615513,0.9897835454488827,0.09682179102542549,0.023443532935938375,0.07374379190905346,0.9533586706798186,0.21845246986003497,0.0656013423003108,0.1481691000802176,0.9857828229050657,1.8086186142936136,0.029171267972477637,1.3185622642780166,0.9649201472647279,3.4903400958468715,0.07123143052748718,3.2518718174525674,0.9626355395165856,0.528253818634903,0.04716551952097348,0.4313518195316709,0.6390629307365645,1.7400420646454389,0.23514081954668092,1.3028247560773578,0.9992790770837565,0.829473447812941,0.006912278731774508,0.684777621565194,0.9911045262665539,2.5140617331390023,0.03397380720458111,2.266972133091518,0.9995614493584598,0.56224632810989,0.005737207429692755,0.4513227791621766,0.9957576212260368,1.295040569636096,0.021584009493934932,1.11693867274693
Dataset_0136,multi_output,ALL,xgboost,123,0,0.9871848843228607,0.8260018414819811,0.001924515008112724,0.5269741210280632,0.9424101014063615,1.9823760421495877,0.0050339665874799076,1.3014246900081632,0.9882435804345038,0.09210414994457315,0.027910348468052473,0.06664634781224386,0.9804215346682396,0.09813336657355469,0.049066683286777345,0.07405721545219424,0.9949548437159338,0.4023351612379051,0.01828796187445023,0.3273780277797153,0.9256210728174944,1.3963752769500344,0.08213972217353144,1.220856094360352,0.9895008783490991,0.10411251153053151,0.025208840564293344,0.08576163291931158,0.990613053013825,0.07557224290304024,0.033029826443636466,0.060511447429657084,0.989099240522432,1.6766320658304288,0.027042452674684334,1.3251170567103796,0.9369263529195027,3.7429075248863346,0.07638586785482315,2.8474241256713846,0.95004662871039,0.6360034988341418,0.056786026681619806,0.49765517711639395,0.7880448076788132,1.1101889223675856,0.1520806742969295,0.9549953460693359,0.999259224525832,0.876570575964899,0.007304754799707491,0.7070410592215401,0.988475255303708,2.4254199370240155,0.043311070304000276,2.1288986206054688,0.9991897940018337,0.7815277436606529,0.007974772894496458,0.6792195456368582,0.9867686334429472,2.1021322788299686,0.042900658751632015,1.8232299804687493
Dataset_0136,multi_output,ALL,xgboost,123,1,0.9903798368408806,0.8958178743949431,0.0020871805088418993,0.5112269269633175,0.9294240644225003,1.3741236639731484,0.0035691523739562296,1.0103504222753095,0.9911874138048717,0.08046110788552516,0.024382153904704593,0.059109264899944454,0.9762019761435706,0.08837215181582288,0.06797857831986376,0.07713617256709503,0.995971649291195,0.3593249727762765,0.016332953308012568,0.2680903993803882,0.931259230078034,1.1339882602177376,0.09449902168481146,0.6589351109095978,0.9922777206115055,0.08771146503697143,0.021237642866094777,0.06935755473169797,0.9447734328075191,0.1748203559936855,0.08364610334626102,0.1449857766287669,0.9830985448116208,2.0326617175189403,0.03629753066998108,1.5785979698444232,0.98546932640003,1.974447597802157,0.03797014611157994,1.9367941720145094,0.9713829420310548,0.46537324954593756,0.041551182995173,0.3812889296433021,0.6824630045420834,1.5920812998637044,0.1788855393105286,1.2732337951660158,0.9993398781523234,0.8328739144347886,0.006940615953623238,0.6918387577451509,0.9943956568124682,1.4547793601000931,0.023848841968853986,1.2905622209821428,0.9994007091835921,0.6574047801397763,0.0067082120422426155,0.530305612498316,0.9914058241737965,1.8285679015074388,0.03386236854643405,1.6908057076590401
Dataset_0136,multi_output,ALL,xgboost,123,2,0.9910759557842684,0.8713707862064544,0.002030220843910658,0.4981046272897954,0.9317513488909446,1.8587219529672938,0.0043921688909645635,1.3118355393409729,0.9964475484279368,0.04986486635324367,0.015110565561588992,0.03569423576881145,0.9440954091848686,0.1766417042517228,0.0887646755033783,0.1116615843772889,0.9945156619837165,0.40926440899547734,0.018602927681612605,0.3103997592268321,0.9715019291371242,0.9496902649888312,0.05935564156180195,0.8004006522042418,0.992072084936096,0.08486651691779915,0.02054879344256638,0.06523703068700333,0.9444298847267414,0.24168507630074482,0.07108384597080729,0.1809578841073174,0.9864404794762154,1.912458454903739,0.030846104111350626,1.395224367339035,0.9598675068375495,2.6438637577009065,0.06148520366746294,2.339062282017299,0.9696646130372379,0.4936177115173105,0.04407300995690273,0.4043853562453696,0.7170114040694818,1.2971389044810544,0.17528904114608843,0.9380718231201174,0.9990495320519166,0.9109796742430457,0.007591497285358714,0.794531460466056,0.9921153425966628,2.9596779324332045,0.027921489928615137,2.7470528738839284,0.9993417705767605,0.6377957263712487,0.006508119656849476,0.4812601812954604,0.9932379656841834,2.400026489720705,0.027586511376100055,2.0656416756766185
Dataset_0136,multi_output,ALL,xgboost,123,3,0.9879210552318188,0.8040515997052642,0.001899977787058447,0.5309302186308235,0.8856447275025154,2.371407055237756,0.005525179532240811,1.4587007364448237,0.9863255485593482,0.08923335937031376,0.027122601632314218,0.06851686822957004,0.9809894601309752,0.14049883931076823,0.05403801511952625,0.12147074937820433,0.9902669193966991,0.5213740860939285,0.024827337433044216,0.43384588833512894,0.9734095829574224,1.0639154417492325,0.05599554956574908,0.8439383370535722,0.9948083372577341,0.06747217930577752,0.016910320628014414,0.058917643316860856,0.968100836183479,0.19403271668186414,0.06424924393439209,0.16624995640345994,0.9910993351074524,1.4339727149539885,0.024304622287355738,1.179932219406654,0.93237684447866,4.270059815926554,0.07907518177641766,3.173555646623884,0.9558361796827499,0.6070174201188593,0.05419798393918387,0.4800675984086661,0.3567803030196044,1.514876349949049,0.29132237499020175,1.1836940492902486,0.9984714518508648,1.052860616131423,0.009932647321994555,0.8365015490301724,0.991826670875973,3.591450149107709,0.02992875124256424,2.8924952915736606,0.998639614767883,0.841358085064969,0.009348423167388544,0.6587297636887125,0.9960293948714941,2.17920166677738,0.02394727106348769,1.8295011247907362
Dataset_0136,multi_output,ALL,xgboost,123,4,0.9890447083107964,0.69706522369269,0.0016241035034778425,0.45383703256240615,0.9145178368597613,2.7355970758609915,0.006660815865256858,1.4764930321245775,0.9923393581157588,0.06865796617821583,0.026406910068544554,0.05363786105451912,0.9197922833257781,0.2529062312740621,0.09032365402645075,0.20120542049407955,0.9939469967454243,0.43207349339611184,0.02274071017874273,0.3356096991177263,0.9823168264362993,0.6871774955347691,0.04294859347092307,0.4903564453125,0.989448612399152,0.09554418712201163,0.02575315016765812,0.07386916167160573,0.952169278437761,0.22801581837323046,0.07308199306834309,0.16260826928274966,0.9936645878997368,1.2718198093208324,0.02051322273098117,0.9709266399515085,0.8213284248626495,6.137258107057148,0.15616432842384603,4.3982539585658476,0.9555450947329095,0.5274867275436738,0.050719877648430174,0.41544978043128705,0.7420167745224866,1.8492784814336922,0.16511415012800826,1.4556358609880717,0.9992003156356236,0.8505659106510511,0.007088049255425426,0.7058326458108837,0.9902043144074352,2.8231347217644727,0.03172061485128621,2.2834385463169644,0.9991679926469695,0.762587127734832,0.008027232923524547,0.6215334398993128,0.9937969560259197,1.6554202526351982,0.026700326655406423,1.3439527239118303
