rank,dataset,model,target,feature,mean_abs_shap,effect_sign,pearson_r_feature_vs_shap,spearman_rho_feature_vs_shap,linearity,interaction_strength_ratio
1,Dataset_0136,gradient_boosting,Hardness (HV),Rotational Speed,3.804875758308779,positive,0.9823544371033159,0.9686196045011367,approximately linear,0.011324464986292483
2,Dataset_0136,gradient_boosting,Hardness (HV),Tool Shape,2.1622370190597007,positive,0.9879629343885238,0.943172990270231,approximately linear,0.011324464986292483
3,Dataset_0136,gradient_boosting,Hardness (HV),Plunging Speed,1.9254804950706566,negative,-0.9855414802830789,-0.943172990270231,approximately linear,0.011324464986292483
