train_size,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std
8,0.13610888593830303,0.04340131259843338,0.39726568268090484,0.08677766799021354
12,0.09600298619786982,0.023534332123718988,0.2695342072515246,0.10825335041469017
16,0.08246532558503528,0.020952954052515696,0.2620598525618229,0.08128697355687638
20,0.0880588318292018,0.01260081939656116,0.2103679100015246,0.051356721824513514
24,0.09141114853846945,0.012178625957073232,0.2041617801953227,0.050843081058393
28,0.09052192713007974,0.007707982704915267,0.20041960039782203,0.042200370806274236
