train_size,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std
8,0.22997218513152942,0.043754356819529466,0.5208254625024664,0.08952583536201711
12,0.18762333355697042,0.04553355665413315,0.36333250855458743,0.13301859643137826
16,0.13094140954429864,0.028951044173830348,0.3244965613842311,0.056424378543734915
20,0.13006063223322742,0.008909576998723818,0.2445482383723018,0.06630822210296919
24,0.11856105413916877,0.020450378044632046,0.21769289932100105,0.07793929931358162
28,0.10728848661807196,0.017769332195492742,0.20813426103920238,0.07583317698799664
