train_size,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std
8,0.3214567204781133,0.07067798301479974,0.45353532398953494,0.1639865686648368
12,0.232218716655548,0.09374612751566908,0.3843612786293649,0.12070850218508711
16,0.23632233675214578,0.05521194166998247,0.3698625914477832,0.12295627135619253
20,0.13895376605714518,0.06086841562326991,0.28407065517196034,0.1304628089905178
24,0.2029044686711011,0.1262819287345898,0.3764569974794304,0.22776269618394435
28,0.12557813638801518,0.053524797792457536,0.2294066843167138,0.06200762929333065
