train_size,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std
8,8.543581003385919,2.9645263488810705,15.714615977031098,3.9878020221816532
12,7.706332012962754,4.435141778626288,12.444829931360378,6.764353119710236
16,4.647716900641358,2.531699091112005,10.118309021866773,5.086651680178037
20,1.8992801816069673,0.4957127379914275,3.764369200408018,1.0313070750553728
24,1.97794655975621,0.9415167901417973,3.0213843663874806,1.174803544851139
28,1.2073647057433112,0.30898199323374914,2.7878500230867385,0.6512524581210397
