train_size,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std
8,0.24052631321793122,0.06731946922769319,0.4120251690833701,0.14768272578015512
12,0.18425988399376916,0.021130233214935498,0.3503256131677339,0.10974256376353625
16,0.12338277097624503,0.01395896015677716,0.31810936515080607,0.13914701604316343
20,0.10823558042763662,0.016303936483893382,0.2246096896628289,0.12641377537817394
24,0.09202383788584341,0.012359990275484213,0.2091905795822989,0.137298710743732
28,0.08909887762491353,0.009860832766368295,0.18637184684381997,0.1060853121442169
