train_size,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std
8,0.24254292992295756,0.06949382577573576,0.3366209446352494,0.12319997903645948
12,0.18562334145756718,0.06449157714305505,0.29332570888559,0.08766150685833574
16,0.1988665886763444,0.03319205372711327,0.30272622808317207,0.10688126063360615
20,0.11500345705387902,0.041894753572653334,0.20756982341715519,0.08872751906288674
24,0.18211566748065888,0.10021462777090435,0.3011377506363314,0.15583138207811648
28,0.10607145689342641,0.0316247922333353,0.18834403036583053,0.025650093403159675
