train_size,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std
8,0.05606729127560541,0.006016710006427862,0.11081348705428182,0.0075991163615624635
12,0.03779957310959496,0.003713021083993964,0.07566328209371477,0.01782943770708683
16,0.031583568071716375,0.001874649908581208,0.06301244339867869,0.026367789361123953
20,0.029457208068205537,0.0023837973257891457,0.057925363551621256,0.03434767723512338
24,0.027070775326931095,0.0028432008332464525,0.05654874553336742,0.03436048192382046
28,0.02518512144339019,0.003722955642852757,0.054919396403692054,0.030048972823609632
