train_size,train_rmse_mean,train_rmse_std,test_rmse_mean,test_rmse_std
8,1.5358386635805623,0.6224168851458391,3.1387889321242257,0.8295407770329325
12,1.208797785629225,0.3921272701486158,2.7289035701660733,0.924734872537322
16,0.6250504936779308,0.2217123409274063,2.381525302197299,0.7081778966932496
20,0.6470154287524904,0.18541087271527623,2.156455242142205,0.6196587924882111
24,0.6314010839602588,0.21814671777584974,2.0146572550253388,0.5686765401626248
28,0.8431805955463115,0.23967508142724447,1.816600672480294,0.6130055766567317
