dataset,mode,target,model,seed,fold,train_r2,train_rmse,train_nrmse,train_mae,test_r2,test_rmse,test_nrmse,test_mae
Dataset_3772,single_output,Si Particle Size (um),linear_regression,42,0,0.8977089248949432,0.067549406997547,0.08443675874693374,0.052441132076278894,0.9487152799168368,0.04565526631047141,0.08614201190654983,0.03661560053165497
Dataset_3772,single_output,Si Particle Size (um),linear_regression,42,1,0.9339102422908696,0.054747819612584125,0.06843477451573016,0.0434870540209822,0.7768930408854744,0.09162033347790677,0.17619294899597454,0.0630736427689432
Dataset_3772,single_output,Si Particle Size (um),linear_regression,42,2,0.9101425105872863,0.05533295901975814,0.08783009368215579,0.04674690811089911,0.7992145812199892,0.10780059517272664,0.16089641070556215,0.08892597901015407
Dataset_3772,single_output,Si Particle Size (um),linear_regression,42,3,0.9091589575773517,0.06459596800869898,0.08176704811227718,0.04911696684025338,0.6920503449255934,0.06014798399315187,0.17185138283757675,0.04344387560845104
Dataset_3772,single_output,Si Particle Size (um),linear_regression,42,4,0.9172730259954924,0.0625697442192913,0.07821218027411413,0.045028838663913044,0.8421371951199755,0.06876624483444337,0.12502953606262432,0.06402151300812521
Dataset_3772,single_output,Si Particle Size (um),linear_regression,123,0,0.9439340222211983,0.051291337016179585,0.06411417127022448,0.0383247294307631,0.6860309787457399,0.0999382254798205,0.199876450959641,0.07969680508886204
Dataset_3772,single_output,Si Particle Size (um),linear_regression,123,1,0.9118169691747954,0.0653811594545426,0.08172644931817825,0.05026743653631078,0.8356128690691669,0.05717478043629773,0.17325691041302343,0.047896201492267754
Dataset_3772,single_output,Si Particle Size (um),linear_regression,123,2,0.9057011237364395,0.06405080553229206,0.08006350691536507,0.0468021586072293,0.9225633577684729,0.059337987091562315,0.09570643079284244,0.05313142255822518
Dataset_3772,single_output,Si Particle Size (um),linear_regression,123,3,0.8933235678934888,0.06428393477336863,0.08137206933337801,0.0500580888789304,0.9408185650348945,0.06198112768486007,0.09535558105363089,0.04306259077820408
Dataset_3772,single_output,Si Particle Size (um),linear_regression,123,4,0.9065328700214603,0.06230353945884952,0.0958515991674608,0.048925693088598794,0.8988421746971564,0.06974118866347105,0.10409132636338964,0.05533386844335405
Dataset_3772,single_output,Si Particle Size (um),linear_regression,7,0,0.8954125988496078,0.0614831484658362,0.09759229915212096,0.04765525127847659,0.9110723102435628,0.07492369729181213,0.1040606906830724,0.06360229601113587
Dataset_3772,single_output,Si Particle Size (um),linear_regression,7,1,0.9120935174574167,0.060746940633204925,0.07689486156101889,0.04677780524202577,0.8996508441365304,0.07221057687265131,0.12035096145441883,0.05565091123388894
Dataset_3772,single_output,Si Particle Size (um),linear_regression,7,2,0.9044149727486501,0.06570794189500795,0.08213492736875994,0.050702771147541584,0.915606187889574,0.05409778854321159,0.10607409518276782,0.04461139744092495
Dataset_3772,single_output,Si Particle Size (um),linear_regression,7,3,0.9295345640663788,0.05628904087849612,0.07036130109812015,0.04548407208194161,0.7812372943402426,0.08978408810202054,0.14481304532583958,0.054430379884665925
Dataset_3772,single_output,Si Particle Size (um),linear_regression,7,4,0.9166403699671481,0.06480402012061418,0.08100502515076771,0.04792392052223029,0.8318246078268965,0.05391689697110005,0.14188657097657906,0.047500218158770015
Dataset_3772,single_output,Si Particle Size (um),linear_regression,2024,0,0.8929631107463312,0.06763708864544679,0.08454636080680848,0.05165484065283486,0.9397868449320551,0.04387386215407376,0.08124789287791437,0.037708764738424654
Dataset_3772,single_output,Si Particle Size (um),linear_regression,2024,1,0.9152997060267706,0.064830919652624,0.08103864956578,0.047497292228028724,0.8440297164818402,0.05619821249730464,0.12217002716805354,0.05134951996184711
Dataset_3772,single_output,Si Particle Size (um),linear_regression,2024,2,0.9100233656255942,0.06527214169038097,0.0815901771129762,0.049413970852746264,0.8659987739873357,0.054114110878877485,0.12025357973083886,0.043984121286777464
Dataset_3772,single_output,Si Particle Size (um),linear_regression,2024,3,0.9117071988509018,0.05247747148390221,0.08464108303855195,0.04211672971778684,0.8499242443184074,0.11295796564855214,0.14119745706069017,0.1044475783379797
Dataset_3772,single_output,Si Particle Size (um),linear_regression,2024,4,0.936786236864826,0.05438492542282577,0.06798115677853221,0.04336794894209999,0.6869452180138332,0.09771147303806196,0.20356556882929577,0.06660637265680389
Dataset_3772,single_output,Si Particle Size (um),linear_regression,99,0,0.9139618842644099,0.06436749368001601,0.08147784010128609,0.04783539576572154,0.8557534329424298,0.06182983463694861,0.12881215549364294,0.04946684995995583
Dataset_3772,single_output,Si Particle Size (um),linear_regression,99,1,0.9000441125455664,0.06514070651703795,0.08142588314629742,0.047253605581649,0.9252427421509741,0.05341330419334286,0.08615049063442397,0.04870559647979838
Dataset_3772,single_output,Si Particle Size (um),linear_regression,99,2,0.9253832882008144,0.05233784082235668,0.08051975511131798,0.04329810015318698,0.8462180821453471,0.09663665113304738,0.12884886817739652,0.0665956617036253
Dataset_3772,single_output,Si Particle Size (um),linear_regression,99,3,0.9113066264461225,0.06735098044982162,0.08418872556227701,0.051998901571989234,0.8688228593185396,0.042490302297082894,0.12140086370595111,0.03387966699510876
Dataset_3772,single_output,Si Particle Size (um),linear_regression,99,4,0.9114599511254413,0.05951702062184808,0.07439627577731009,0.045043259740409416,0.884522694742667,0.08263889176493551,0.1377314862748925,0.0726760188020406
Dataset_3772,single_output,Si Particle Size (um),ridge,42,0,0.8966180697538403,0.06790863289148621,0.08488579111435776,0.052569746782615,0.9574406782225985,0.04159050894723773,0.07847265839101458,0.035133686392669394
Dataset_3772,single_output,Si Particle Size (um),ridge,42,1,0.9328502916571608,0.0551850973655445,0.06898137170693062,0.044001612978658095,0.7858957025644419,0.0897527991436837,0.17260153681477633,0.06288511460345636
Dataset_3772,single_output,Si Particle Size (um),ridge,42,2,0.9090963913371236,0.05565411963709577,0.08833987243983457,0.046506198287668686,0.7756026686674349,0.11396301151270079,0.17009404703388178,0.09252148844969159
Dataset_3772,single_output,Si Particle Size (um),ridge,42,3,0.9081647742181447,0.06494848202555153,0.08221326838677409,0.049696289221123686,0.7400652367836265,0.05526032020069903,0.15788662914485435,0.03996999826845945
