dataset,mode,target,model,train_r2_mean,train_r2_std,train_rmse_mean,train_rmse_std,train_nrmse_mean,train_nrmse_std,train_mae_mean,train_mae_std,test_r2_mean,test_r2_std,test_rmse_mean,test_rmse_std,test_nrmse_mean,test_nrmse_std,test_mae_mean,test_mae_std,gap_r2,gap_rmse,stability_test_r2_std,stability_test_rmse_std
Dataset_3772,single_output,Elongation (%),ann,0.22496134168130888,0.2382908096610956,2.791661169693238,0.6107039831251766,0.206353860687007,0.04547278039292938,2.206621937486922,0.5352849877232903,-0.07057950075829857,0.27019122852195165,3.105331916329161,0.8762892082656855,0.33160450125096136,0.048027138180754006,2.5021707480884268,0.7615137994525674,0.29554084243960743,0.313670746635923,0.27019122852195165,0.8762892082656855
Dataset_3772,single_output,Elongation (%),elasticnet,0.2565219038396997,0.07928919968213323,2.796536961455948,0.20609262176824358,0.20642305284105625,0.016367611451274543,2.2383734263780166,0.18403202221905038,-0.11737075516680463,0.5188144396523481,3.073170228927028,0.8137685503917703,0.33391990648507586,0.07599723378863717,2.5060444251085103,0.664914893284725,0.3738926590065043,0.2766332674710803,0.5188144396523481,0.8137685503917703
Dataset_3772,single_output,Elongation (%),extra_trees,0.8750038831008341,0.04947233824039432,1.127913329760964,0.1991094668272611,0.08327954116763228,0.0149062034948586,0.8576503145672015,0.11182856491221779,0.4860884734227246,0.47680090941188386,1.9875359886743302,0.8942583992252954,0.21750983074837865,0.09619538691941613,1.5575231151927427,0.7639941946684332,0.3889154096781095,0.8596226589133662,0.47680090941188386,0.8942583992252954
Dataset_3772,single_output,Elongation (%),gpr,0.9377097865211779,0.04730285129835919,0.701874115999044,0.41302088391544,0.051326010765590936,0.029384864205122173,0.5390915755281153,0.31720900491205706,0.37872146161618253,0.2850614307670842,2.3084593338981785,0.6539684465023118,0.2498076886604098,0.05434484531144919,1.8405892790717742,0.6079658737718004,0.5589883249049954,1.6065852178991344,0.2850614307670842,0.6539684465023118
Dataset_3772,single_output,Elongation (%),gradient_boosting,0.7228049738065107,0.1454617192145458,1.655181523978379,0.497170000224664,0.12150229248588568,0.03403403066364759,1.205521564277187,0.32969571038484163,0.35722374489492936,0.5360216910683101,2.237148282565128,0.6219893231523033,0.2462984288301169,0.08360357405724807,1.7395430232046478,0.4606319115838021,0.3655812289115813,0.5819667585867492,0.5360216910683101,0.6219893231523033
Dataset_3772,single_output,Elongation (%),lightgbm,0.9124325876846036,0.03295941504599053,0.9393750751948194,0.14213089563622322,0.06942450161059076,0.011354064830635753,0.6723263471518187,0.11587395542642558,0.4889353423156104,0.3846943671819347,1.8847281136735867,0.4653296147395825,0.21414123608252728,0.07898940517027389,1.397947425581019,0.3857516061178387,0.42349724536899314,0.9453530384787673,0.3846943671819347,0.4653296147395825
Dataset_3772,single_output,Elongation (%),linear_regression,0.25895014630681973,0.07959793063006185,2.791917232951894,0.2066385560412272,0.20608309250099935,0.016416047815956597,2.212657791690109,0.18690867411612183,-0.14554103220629977,0.5899529561379759,3.0845843397406583,0.8181595232744818,0.33642477055693915,0.08364826813254388,2.4903118551625676,0.6659240269631536,0.4044911785131195,0.2926671067887643,0.5899529561379759,0.8181595232744818
Dataset_3772,single_output,Elongation (%),random_forest,0.7860358115649159,0.04480747828515321,1.4914840494724788,0.14760004263384924,0.10999853184468267,0.010295502731868678,1.0846905571446794,0.09322283548638338,0.3909162416800691,0.42764836300600323,2.2379778608334497,0.8030273159174969,0.24213708088823274,0.08050238123892334,1.7290417033140133,0.6644398637576019,0.39511956988484676,0.7464938113609709,0.42764836300600323,0.8030273159174969
Dataset_3772,single_output,Elongation (%),ridge,0.2586509424745861,0.07950707722751955,2.7924965405933038,0.20656440825277947,0.20612541821228864,0.016405412065638003,2.221424406776882,0.18508788270043,-0.13092121078396052,0.5609311343388765,3.0745275864871475,0.8146295624992685,0.3348877380296497,0.08073187532612996,2.4917412070430185,0.6639963075442933,0.3895721532585466,0.28203104589384376,0.5609311343388765,0.8146295624992685
Dataset_3772,single_output,Elongation (%),svr_rbf,0.4383413976518154,0.05138872874415236,2.434000087468948,0.19834897930233755,0.17941011890645156,0.01226949422711553,1.6267205682792385,0.14402898870455363,0.18791772700642473,0.22195427299791112,2.7269349521200383,0.9011557402845974,0.2883347869050867,0.04678032492644399,2.143657039544291,0.6758806234212197,0.2504236706453907,0.29293486465109053,0.22195427299791112,0.9011557402845974
