dataset,target,model,optuna_best_rmse,optuna_best_params,nested_cv_test_rmse_mean,nested_cv_test_rmse_std,nested_cv_test_r2_mean
Dataset_0172,Si Particle Size (um),xgboost,0.10433676901849842,"{'model__n_estimators': 659, 'model__learning_rate': 0.03709401078019893, 'model__max_depth': 3, 'model__reg_alpha': 0.03529103077212894, 'model__reg_lambda': 0.706358540482736, 'model__subsample': 0.6725893453320878}",0.10510421195739175,0.04207296893098906,0.985311555429617
Dataset_0172,Si Particle Size (um),lightgbm,0.1333998751092053,"{'model__n_estimators': 563, 'model__learning_rate': 0.049447419592233866, 'model__num_leaves': 7, 'model__min_child_samples': 5}",0.133723512145197,0.045920258619148474,0.97697206526675
Dataset_0172,Si Particle Size (um),gradient_boosting,0.13300774519274156,"{'model__n_estimators': 795, 'model__learning_rate': 0.0663347596386054, 'model__max_depth': 3, 'model__subsample': 0.721443009627214}",0.15879174380310537,0.0794852239601799,0.9679146542529663
Dataset_0172,Hardness (HV),xgboost,1.0972187500067296,"{'model__n_estimators': 603, 'model__learning_rate': 0.08647180184580641, 'model__max_depth': 2, 'model__reg_alpha': 0.2084007075606693, 'model__reg_lambda': 3.909281454118545, 'model__subsample': 0.9767743245015139}",1.2639805075935742,0.12772559006683915,0.9418953552438392
Dataset_0172,Hardness (HV),lightgbm,1.1085116840682414,"{'model__n_estimators': 483, 'model__learning_rate': 0.09243186560052273, 'model__num_leaves': 3, 'model__min_child_samples': 3}",1.154991124629538,0.23723201536329877,0.9456208366194909
Dataset_0172,Hardness (HV),gradient_boosting,1.2856517143942472,"{'model__n_estimators': 508, 'model__learning_rate': 0.062321881067494034, 'model__max_depth': 1, 'model__subsample': 0.9909541041936158}",1.4856690534539294,0.3550130804941666,0.9115232394561262
Dataset_0172,wear rate,xgboost,0.14334095418701262,"{'model__n_estimators': 782, 'model__learning_rate': 0.03515042414884581, 'model__max_depth': 2, 'model__reg_alpha': 0.0010736826466619129, 'model__reg_lambda': 0.9638166672487607, 'model__subsample': 0.6032161644409049}",0.15314206716263262,0.04619701627958921,0.9873672883366785
Dataset_0172,wear rate,lightgbm,0.1555279906749092,"{'model__n_estimators': 508, 'model__learning_rate': 0.062321881067494034, 'model__num_leaves': 3, 'model__min_child_samples': 5}",0.1887302331223427,0.059414639300419195,0.9806192346386722
Dataset_0172,wear rate,gradient_boosting,0.162969421318128,"{'model__n_estimators': 370, 'model__learning_rate': 0.066776312803357, 'model__max_depth': 2, 'model__subsample': 0.9284100342274393}",0.17146228638671093,0.07887043890004355,0.9837620719374272
Dataset_0172,Ultimate Compression Strength (MPa),xgboost,5.210697865416898,"{'model__n_estimators': 750, 'model__learning_rate': 0.0237903697826224, 'model__max_depth': 3, 'model__reg_alpha': 0.28235036490925375, 'model__reg_lambda': 0.025768457805699637, 'model__subsample': 0.8269977808984815}",5.63822834465081,1.1275518147970804,0.9003975249986986
Dataset_0172,Ultimate Compression Strength (MPa),lightgbm,4.946254615448071,"{'model__n_estimators': 312, 'model__learning_rate': 0.29554358330774444, 'model__num_leaves': 9, 'model__min_child_samples': 2}",5.9419282683637755,0.9397430097881369,0.8905459194802274
Dataset_0172,Ultimate Compression Strength (MPa),gradient_boosting,5.478350422715397,"{'model__n_estimators': 145, 'model__learning_rate': 0.22413234378101138, 'model__max_depth': 3, 'model__subsample': 0.9233589392465844}",6.0321664143616776,1.338399327685103,0.8830903659281321
Dataset_0172,Elongation (%),xgboost,1.4621927127266827,"{'model__n_estimators': 442, 'model__learning_rate': 0.15556859611263701, 'model__max_depth': 2, 'model__reg_alpha': 0.4150159138527653, 'model__reg_lambda': 0.09411499506892387, 'model__subsample': 0.7891521635507237}",1.4759099495135577,0.31833103513452515,0.7497779675798834
Dataset_0172,Elongation (%),lightgbm,1.3897383040623832,"{'model__n_estimators': 728, 'model__learning_rate': 0.1518604119962739, 'model__num_leaves': 6, 'model__min_child_samples': 4}",1.5371716157205366,0.4218688331173001,0.7232769490484484
Dataset_0172,Elongation (%),gradient_boosting,1.5148950469212763,"{'model__n_estimators': 278, 'model__learning_rate': 0.1271328063962457, 'model__max_depth': 3, 'model__subsample': 0.9877079408194871}",2.0037082257364793,1.0427282923622436,0.530784823051422
