dataset,target,model,random_search_best_rmse,random_search_best_params
Dataset_0172,Si Particle Size (um),linear_regression,0.36736382463769285,{}
Dataset_0172,Si Particle Size (um),ridge,0.3665691894406139,{'model__alpha': np.float64(1.1462107403425035)}
Dataset_0172,Si Particle Size (um),elasticnet,0.36670529694072257,"{'model__alpha': np.float64(0.01653693718282442), 'model__l1_ratio': np.float64(0.1379049026057455)}"
Dataset_0172,Si Particle Size (um),svr_rbf,0.15890165906112966,"{'model__C': np.float64(9.717775305059629), 'model__epsilon': np.float64(0.00861257919259488), 'model__gamma': np.float64(0.12030178871154672)}"
Dataset_0172,Si Particle Size (um),gpr,0.15827563431422614,"{'model__alpha': np.float64(3.0900814009365934e-05), 'model__n_restarts_optimizer': 9}"
Dataset_0172,Si Particle Size (um),random_forest,0.22753806129808432,"{'model__max_depth': 6, 'model__max_features': np.float64(0.6591670111852694), 'model__min_samples_leaf': 1, 'model__n_estimators': 574}"
Dataset_0172,Si Particle Size (um),extra_trees,0.19648603777356818,"{'model__max_depth': 6, 'model__max_features': np.float64(0.6591670111852694), 'model__min_samples_leaf': 1, 'model__n_estimators': 574}"
Dataset_0172,Si Particle Size (um),gradient_boosting,0.1366817720353693,"{'model__learning_rate': np.float64(0.21244807336152005), 'model__max_depth': 2, 'model__min_samples_leaf': 4, 'model__n_estimators': 369, 'model__subsample': np.float64(0.8909087983425683)}"
Dataset_0172,Si Particle Size (um),xgboost,0.10172511966289237,"{'model__learning_rate': np.float64(0.031420647964844825), 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 640, 'model__reg_alpha': np.float64(0.008226074946221037), 'model__reg_lambda': np.float64(0.01701922302655402), 'model__subsample': np.float64(0.7159005811655073)}"
Dataset_0172,Si Particle Size (um),ann,0.18116734416123684,"{'regressor__model__alpha': np.float64(0.7579479953348001), 'regressor__model__hidden_layer_sizes': (24,), 'regressor__model__learning_rate_init': np.float64(0.007535384509295544)}"
Dataset_0172,Si Particle Size (um),lightgbm,0.12209497851809796,"{'model__learning_rate': np.float64(0.03385139511183492), 'model__max_depth': 3, 'model__min_child_samples': 3, 'model__n_estimators': 352, 'model__num_leaves': 14, 'model__reg_alpha': np.float64(0.0012366582530130832), 'model__reg_lambda': np.float64(0.3752528339573977)}"
Dataset_0172,Hardness (HV),linear_regression,1.7241685260996273,{}
Dataset_0172,Hardness (HV),ridge,1.7241689241605624,{'model__alpha': np.float64(0.001267425589893723)}
Dataset_0172,Hardness (HV),elasticnet,1.7242276115703228,"{'model__alpha': np.float64(0.0012087541473056963), 'model__l1_ratio': np.float64(0.922918866945795)}"
Dataset_0172,Hardness (HV),svr_rbf,1.6093645048347234,"{'model__C': np.float64(8.178476574339538), 'model__epsilon': np.float64(0.45881565491609727), 'model__gamma': np.float64(0.0774211647399625)}"
Dataset_0172,Hardness (HV),gpr,1.7053158428171447,"{'model__alpha': np.float64(0.05804965855340131), 'model__n_restarts_optimizer': 8}"
Dataset_0172,Hardness (HV),random_forest,2.0458524061742933,"{'model__max_depth': 6, 'model__max_features': np.float64(0.6591670111852694), 'model__min_samples_leaf': 1, 'model__n_estimators': 574}"
Dataset_0172,Hardness (HV),extra_trees,1.9410727281538456,"{'model__max_depth': 6, 'model__max_features': np.float64(0.5628094190643376), 'model__min_samples_leaf': 1, 'model__n_estimators': 379}"
Dataset_0172,Hardness (HV),gradient_boosting,1.2893129837937958,"{'model__learning_rate': np.float64(0.24606760251270873), 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__n_estimators': 256, 'model__subsample': np.float64(0.9208787923016158)}"
Dataset_0172,Hardness (HV),xgboost,1.1410914564009285,"{'model__learning_rate': np.float64(0.06416866024982448), 'model__max_depth': 2, 'model__min_child_weight': 3, 'model__n_estimators': 646, 'model__reg_alpha': np.float64(0.0774211647399625), 'model__reg_lambda': np.float64(0.022844556850020535), 'model__subsample': np.float64(0.885297914889198)}"
Dataset_0172,Hardness (HV),ann,1.7499529632106676,"{'regressor__model__alpha': np.float64(0.00011299516083106625), 'regressor__model__hidden_layer_sizes': (8,), 'regressor__model__learning_rate_init': np.float64(0.00853618986286683)}"
Dataset_0172,Hardness (HV),lightgbm,1.134610867827858,"{'model__learning_rate': np.float64(0.24040287158375262), 'model__max_depth': 2, 'model__min_child_samples': 5, 'model__n_estimators': 437, 'model__num_leaves': 7, 'model__reg_alpha': np.float64(0.2223333760592037), 'model__reg_lambda': np.float64(7.8662169812668425)}"
Dataset_0172,wear rate,linear_regression,0.2871028855654744,{}
Dataset_0172,wear rate,ridge,0.2870184497535099,{'model__alpha': np.float64(0.37253938395788866)}
Dataset_0172,wear rate,elasticnet,0.287034500740778,"{'model__alpha': np.float64(0.004207988669606638), 'model__l1_ratio': np.float64(0.1903950683025824)}"
Dataset_0172,wear rate,svr_rbf,0.23453540138779366,"{'model__C': np.float64(91.33995846860967), 'model__epsilon': np.float64(0.2073644517790503), 'model__gamma': np.float64(0.0062353771356731605)}"
Dataset_0172,wear rate,gpr,0.22036591125219251,"{'model__alpha': np.float64(2.936998110437699e-05), 'model__n_restarts_optimizer': 6}"
Dataset_0172,wear rate,random_forest,0.322987633061976,"{'model__max_depth': 6, 'model__max_features': np.float64(0.6591670111852694), 'model__min_samples_leaf': 1, 'model__n_estimators': 574}"
Dataset_0172,wear rate,extra_trees,0.2884980535630561,"{'model__max_depth': 6, 'model__max_features': np.float64(0.6591670111852694), 'model__min_samples_leaf': 1, 'model__n_estimators': 574}"
Dataset_0172,wear rate,gradient_boosting,0.1649175419538736,"{'model__learning_rate': np.float64(0.21244807336152005), 'model__max_depth': 2, 'model__min_samples_leaf': 4, 'model__n_estimators': 369, 'model__subsample': np.float64(0.8909087983425683)}"
Dataset_0172,wear rate,xgboost,0.14594020098880214,"{'model__learning_rate': np.float64(0.0530676815078954), 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 712, 'model__reg_alpha': np.float64(0.013783578294796388), 'model__reg_lambda': np.float64(0.012902113024567155), 'model__subsample': np.float64(0.8438257335919588)}"
Dataset_0172,wear rate,ann,0.23797687222789402,"{'regressor__model__alpha': np.float64(0.20651425578959234), 'regressor__model__hidden_layer_sizes': (12,), 'regressor__model__learning_rate_init': np.float64(0.008521393381383607)}"
Dataset_0172,wear rate,lightgbm,0.18122201872173266,"{'model__learning_rate': np.float64(0.21574860446922628), 'model__max_depth': 3, 'model__min_child_samples': 3, 'model__n_estimators': 445, 'model__num_leaves': 7, 'model__reg_alpha': np.float64(0.008386394780402562), 'model__reg_lambda': np.float64(0.05285382203816726)}"
Dataset_0172,Ultimate Compression Strength (MPa),linear_regression,9.318987074248396,{}
Dataset_0172,Ultimate Compression Strength (MPa),ridge,9.312085845469294,{'model__alpha': np.float64(1.1462107403425035)}
Dataset_0172,Ultimate Compression Strength (MPa),elasticnet,9.312598214937838,"{'model__alpha': np.float64(0.01653693718282442), 'model__l1_ratio': np.float64(0.1379049026057455)}"
Dataset_0172,Ultimate Compression Strength (MPa),svr_rbf,7.741315335249292,"{'model__C': np.float64(9.717775305059629), 'model__epsilon': np.float64(0.00861257919259488), 'model__gamma': np.float64(0.12030178871154672)}"
Dataset_0172,Ultimate Compression Strength (MPa),gpr,6.306938302604658,"{'model__alpha': np.float64(3.197999889429474e-05), 'model__n_restarts_optimizer': 6}"
Dataset_0172,Ultimate Compression Strength (MPa),random_forest,7.560462890128204,"{'model__max_depth': 6, 'model__max_features': np.float64(0.6591670111852694), 'model__min_samples_leaf': 1, 'model__n_estimators': 574}"
Dataset_0172,Ultimate Compression Strength (MPa),extra_trees,7.917435826422439,"{'model__max_depth': 6, 'model__max_features': np.float64(0.6591670111852694), 'model__min_samples_leaf': 1, 'model__n_estimators': 574}"
Dataset_0172,Ultimate Compression Strength (MPa),gradient_boosting,5.824866283834147,"{'model__learning_rate': np.float64(0.13983740016490973), 'model__max_depth': 3, 'model__min_samples_leaf': 2, 'model__n_estimators': 408, 'model__subsample': np.float64(0.9879639408647978)}"
Dataset_0172,Ultimate Compression Strength (MPa),xgboost,5.381129291496958,"{'model__learning_rate': np.float64(0.0530676815078954), 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 712, 'model__reg_alpha': np.float64(0.013783578294796388), 'model__reg_lambda': np.float64(0.012902113024567155), 'model__subsample': np.float64(0.8438257335919588)}"
Dataset_0172,Ultimate Compression Strength (MPa),ann,6.7278363011316005,"{'regressor__model__alpha': np.float64(0.0038071583792493925), 'regressor__model__hidden_layer_sizes': (24,), 'regressor__model__learning_rate_init': np.float64(0.0015696396388661157)}"
