rank,dataset,model,target,feature,mean_abs_shap,effect_sign,pearson_r_feature_vs_shap,spearman_rho_feature_vs_shap,linearity,interaction_strength_ratio
4,Dataset_0172,lightgbm,Hardness (HV),Plunging Speed,1.9812043858320034,negative,-0.9861340153551383,-0.9428999892542551,approximately linear,0.004043375609290314
1,Dataset_0172,gradient_boosting,Hardness (HV),Rotational Speed,3.961963549451004,positive,0.9625847825582318,0.9647527963515021,approximately linear,0.008218362616706375
2,Dataset_0172,gradient_boosting,Hardness (HV),Composite Volume Fraction (%),2.4837205311101522,positive,0.9968341346084004,0.8661089445557502,approximately linear,0.008218362616706375
3,Dataset_0172,gradient_boosting,Hardness (HV),Tool Shape,2.1566081932913286,positive,0.9723345560517865,0.9428999892542551,approximately linear,0.008218362616706375
4,Dataset_0172,gradient_boosting,Hardness (HV),Plunging Speed,1.9658336617797592,negative,-0.9848475734354063,-0.9428999892542551,approximately linear,0.008218362616706375
1,Dataset_0172,xgboost,wear rate,Composite Volume Fraction (%),1.1761455867025588,negative,-0.9983790642896444,-0.8661089445557502,approximately linear,0.0034372869144597765
2,Dataset_0172,xgboost,wear rate,Rotational Speed,0.6098929444948832,negative,-0.9618256636877875,-0.9641550560811482,approximately linear,0.0034372869144597765
3,Dataset_0172,xgboost,wear rate,Plunging Speed,0.3420305997746471,positive,0.9906501846824916,0.9428999892542551,approximately linear,0.0034372869144597765
4,Dataset_0172,xgboost,wear rate,Tool Shape,0.23425776578884547,negative,-0.9867035782650777,-0.9428999892542551,approximately linear,0.0034372869144597765
1,Dataset_0172,lightgbm,wear rate,Composite Volume Fraction (%),1.173354232064758,negative,-0.9982077867073547,-0.8661089445557502,approximately linear,0.00480707653846979
2,Dataset_0172,lightgbm,wear rate,Rotational Speed,0.6080188801486837,negative,-0.9597585337561723,-0.9599708741886693,approximately linear,0.00480707653846979
3,Dataset_0172,lightgbm,wear rate,Plunging Speed,0.3423420028843202,positive,0.9877332544519686,0.9428999892542551,approximately linear,0.00480707653846979
4,Dataset_0172,lightgbm,wear rate,Tool Shape,0.2341551237034331,negative,-0.9816178121188746,-0.9428999892542551,approximately linear,0.00480707653846979
1,Dataset_0172,gradient_boosting,wear rate,Composite Volume Fraction (%),1.1701806158837351,negative,-0.9980535691401982,-0.8661089445557502,approximately linear,0.009548986339558857
2,Dataset_0172,gradient_boosting,wear rate,Rotational Speed,0.6128981628327331,negative,-0.9637721502442698,-0.9665460171625645,approximately linear,0.009548986339558857
3,Dataset_0172,gradient_boosting,wear rate,Plunging Speed,0.3354024788291669,positive,0.9912284145845427,0.9428999892542551,approximately linear,0.009548986339558857
4,Dataset_0172,gradient_boosting,wear rate,Tool Shape,0.22629918369050875,negative,-0.9870040045848564,-0.9428999892542551,approximately linear,0.009548986339558857
1,Dataset_0172,xgboost,Ultimate Compression Strength (MPa),Plunging Speed,10.37054810700593,positive,0.9191162232357584,0.9388075413842281,approximately linear,0.008813791649063917
2,Dataset_0172,xgboost,Ultimate Compression Strength (MPa),Composite Volume Fraction (%),9.624610159132216,positive,0.9989243440064435,0.8661089445557502,approximately linear,0.008813791649063917
3,Dataset_0172,xgboost,Ultimate Compression Strength (MPa),Rotational Speed,6.906831092059368,negative,-0.7722044933067512,-0.7316340909134069,approximately linear,0.008813791649063917
4,Dataset_0172,xgboost,Ultimate Compression Strength (MPa),Tool Shape,6.068576883386681,positive,0.9692460197547984,0.9428999892542551,approximately linear,0.008813791649063917
1,Dataset_0172,lightgbm,Ultimate Compression Strength (MPa),Plunging Speed,10.401180388758812,positive,0.9162645079992047,0.9240747290521305,approximately linear,0.012497806897463515
2,Dataset_0172,lightgbm,Ultimate Compression Strength (MPa),Composite Volume Fraction (%),9.614867332962442,positive,0.9977646550293986,0.8661089445557502,approximately linear,0.012497806897463515
3,Dataset_0172,lightgbm,Ultimate Compression Strength (MPa),Rotational Speed,7.108991752020239,negative,-0.7691014622936108,-0.7280476492912823,approximately linear,0.012497806897463515
4,Dataset_0172,lightgbm,Ultimate Compression Strength (MPa),Tool Shape,6.0327920545506215,positive,0.9647258438537012,0.9428999892542551,approximately linear,0.012497806897463515
1,Dataset_0172,gradient_boosting,Ultimate Compression Strength (MPa),Plunging Speed,9.866493024598872,positive,0.9243000941416866,0.9428999892542551,approximately linear,0.009589049420529941
2,Dataset_0172,gradient_boosting,Ultimate Compression Strength (MPa),Composite Volume Fraction (%),9.389006786427835,positive,0.9982344562713421,0.8661089445557502,approximately linear,0.009589049420529941
3,Dataset_0172,gradient_boosting,Ultimate Compression Strength (MPa),Rotational Speed,6.240973817051913,negative,-0.7462442796848374,-0.7244612076691578,approximately linear,0.009589049420529941
4,Dataset_0172,gradient_boosting,Ultimate Compression Strength (MPa),Tool Shape,5.501990793098887,positive,0.9670247621769092,0.9428999892542551,approximately linear,0.009589049420529941
1,Dataset_0172,xgboost,Elongation (%),Rotational Speed,1.7890011192655857,negative,-0.40810935441088814,-0.42917751411423705,approximately linear,0.04637224578400476
2,Dataset_0172,xgboost,Elongation (%),Composite Volume Fraction (%),1.1369890835550096,positive,0.9921898281069761,0.8661089445557502,approximately linear,0.04637224578400476
3,Dataset_0172,xgboost,Elongation (%),Plunging Speed,1.131559858719508,positive,0.7485542633751661,0.7202708251247784,approximately linear,0.04637224578400476
4,Dataset_0172,xgboost,Elongation (%),Tool Shape,0.5606350335963223,positive,0.9642450802094652,0.9428999892542551,approximately linear,0.04637224578400476
1,Dataset_0172,lightgbm,Elongation (%),Rotational Speed,1.7494425894089518,negative,-0.41604895026837485,-0.44471876114344344,approximately linear,0.04337396321332319
2,Dataset_0172,lightgbm,Elongation (%),Composite Volume Fraction (%),1.148225002331142,positive,0.989270709404289,0.8661089445557502,approximately linear,0.04337396321332319
3,Dataset_0172,lightgbm,Elongation (%),Plunging Speed,1.0851162254259066,positive,0.7714010262763054,0.7399145749009086,approximately linear,0.04337396321332319
4,Dataset_0172,lightgbm,Elongation (%),Tool Shape,0.5670180899925263,positive,0.9624998499679984,0.9428999892542551,approximately linear,0.04337396321332319
1,Dataset_0172,gradient_boosting,Elongation (%),Rotational Speed,1.215409616182092,negative,-0.510624707057184,-0.6228453617089624,approximately linear,0.02178762439778593
2,Dataset_0172,gradient_boosting,Elongation (%),Composite Volume Fraction (%),1.1953661878962767,positive,0.9868870783367382,0.8661089445557502,approximately linear,0.02178762439778593
3,Dataset_0172,gradient_boosting,Elongation (%),Plunging Speed,1.0133642042070292,positive,0.9151824330433456,0.8823317607778534,approximately linear,0.02178762439778593
4,Dataset_0172,gradient_boosting,Elongation (%),Tool Shape,0.4980854804795187,positive,0.9481185879638658,0.9428999892542551,approximately linear,0.02178762439778593
